"Gennemsnitsalder efter sogn og tid"

" ","2010","2011","2012","2013"
"7124 Taarbæk (Lyngby-Taarbæk Kommune)",42.8,43.1,43.1,43.8
"7125 Søllerød (Rudersdal Kommune)",41.1,41.0,41.1,41.4
"7126 Vedbæk (Rudersdal Kommune)",43.7,44.0,44.5,44.7
"7127 Ny Holte (Rudersdal Kommune)",43.1,42.9,43.1,42.9
"7128 Gammel Holte (Rudersdal Kommune)",42.4,42.6,42.7,42.8
"7129 Nærum (Rudersdal Kommune)",45.9,45.9,45.7,46.2
"7130 Gladsaxe (Gladsaxe Kommune)",38.3,38.2,38.4,38.5
"7131 Søborggård (Gladsaxe Kommune)",39.6,39.5,39.5,39.6
"7132 Bagsværd (Gladsaxe Kommune)",41.5,41.5,41.6,41.3
"7133 Stengård (Gladsaxe Kommune)",39.1,39.0,39.1,39.2
"7134 Mørkhøj (Gladsaxe Kommune)",39.3,39.1,38.9,38.9
"7135 Herlev (Herlev Kommune)",46.5,46.3,46.5,46.6
"7136 Præstebro (Herlev Kommune)",39.3,39.3,39.2,39.2
"7137 Rødovre (Rødovre Kommune)",40.4,40.3,40.5,40.3
"7138 Grøndalslund (Rødovre Kommune)",41.7,41.8,41.8,41.8
"7139 Islev (Rødovre Kommune)",41.8,41.6,41.8,41.7
"7140 Hendriksholm (Rødovre Kommune)",41.4,41.5,41.1,41.1
"7141 Hvidovre (Hvidovre Kommune)",39.7,39.6,39.5,39.3
"7142 Strandmarks (Hvidovre Kommune)",41.5,41.3,41.3,41.4
"7143 Risbjerg (Hvidovre Kommune)",41.4,41.5,41.5,41.6
"7144 Brøndbyvester (Brøndby Kommune)",43.3,43.4,43.3,43.1
"7145 Brøndbyøster (Brøndby Kommune)",43.2,43.3,43.4,43.5
"7146 Avedøre (Hvidovre Kommune)",37.8,38.1,38.2,38.1
"7147 Glostrup (Glostrup Kommune)",41.2,41.1,41.1,41.1
"7148 Herstedøster (Albertslund Kommune)",37.3,37.6,37.8,38.1
"7149 Vallensbæk (Vallensbæk Kommune)",39.4,39.3,39.5,39.6
"7150 Torslunde (Ishøj Kommune)",39.8,40.1,40.6,41.2
"7151 Ishøj (Ishøj Kommune)",37.6,37.7,37.8,38.1
"7152 Høje Tåstrup (Høje-Taastrup Kommune)",35.6,35.6,35.6,35.8
"7153 Tåstrup Nykirke (Høje-Taastrup Kommune)",39.5,39.6,39.9,39.9
"7154 Værløse (Furesø Kommune)",41.9,42.5,42.9,43.0
"7155 Herstedvester (Albertslund Kommune)",37.8,38.0,38.3,38.5
"7156 Roskilde Domsogn (Roskilde Kommune)",41.7,41.7,41.8,41.9
"7157 Roskilde Søndre (Roskilde Kommune)",39.9,39.7,39.2,39.2
"7158 Vor Frue (Roskilde Kommune)",39.9,40.1,40.4,40.3
"7159 Sankt Jørgensbjerg (Roskilde Kommune)",41.4,41.4,41.6,42.1
"7160 Himmelev (Roskilde Kommune)",37.5,37.6,37.9,37.9
"7161 Hvedstrup (Roskilde Kommune)",37.2,37.2,38.7,39.6
"7162 Fløng (Høje-Taastrup Kommune)",38.8,39.0,39.4,39.7
"7163 Herslev (Lejre Kommune)",42.1,41.8,42.3,43.7
"7164 Gevninge (Lejre Kommune)",42.4,42.8,42.9,43.2
"7165 Kornerup (Lejre Kommune)",44.1,43.9,43.4,42.6
"7166 Svogerslev (Roskilde Kommune)",41.9,42.4,42.6,42.8
"7167 Ågerup (Roskilde Kommune)",42.7,42.5,42.3,42.5
"7168 Kirkerup (Roskilde Kommune)",38.8,39.0,39.3,39.5
"7169 Jyllinge (Roskilde Kommune)",39.0,39.5,39.9,40.4
"7170 Gundsømagle (Roskilde Kommune)",40.0,40.2,40.6,41.0
"7171 Osted (Lejre Kommune)",40.0,40.4,40.5,41.0
"7172 Allerslev (Lejre Kommune)",42.8,43.1,44.0,44.3
"7173 Kirke Hvalsø (Lejre Kommune)",39.9,39.9,40.3,40.6
"7174 Særløse (Lejre Kommune)",40.0,40.2,40.5,41.5
"7175 Kirke Saaby (Lejre Kommune)",39.2,39.6,39.7,40.4
"7176 Kisserup (Lejre Kommune)",42.2,43.4,43.7,44.7
"7177 Rye (Lejre Kommune)",42.4,42.7,43.1,43.2
"7178 Kirke Sonnerup (Lejre Kommune)",39.1,40.0,40.7,41.5
"7179 Kirke Hyllinge (Lejre Kommune)",41.1,41.7,41.9,42.3
"7180 Lyndby (Lejre Kommune)",41.3,41.7,42.3,42.4
"7181 Sæby (Lejre Kommune)",44.8,45.1,46.3,47.0
"7182 Gershøj (Lejre Kommune)",44.6,45.3,45.8,45.2
"7183 Frydendal (Holbæk Kommune)",40.4,38.2,36.1,41.2
"7184 Sengeløse (Høje-Taastrup Kommune)",40.8,41.4,41.5,41.4
"7185 Ledøje (Egedal Kommune)",40.8,42.8,43.3,43.6
"7186 Smørum (Egedal Kommune)",38.0,38.2,38.6,39.0
"7187 Ballerup (Ballerup Kommune)",42.0,42.0,42.1,42.1
"7188 Måløv (Ballerup Kommune)",37.0,37.3,37.5,38.2
"7189 Skovlunde (Ballerup Kommune)",42.2,42.2,42.4,42.4
"7190 Tårnby (Tårnby Kommune)",42.0,42.1,42.1,42.0
"7191 Kastrup (Tårnby Kommune)",44.0,43.8,43.7,43.3
"7192 Store Magleby (Dragør Kommune)",41.4,41.6,41.8,41.8
"7193 Dragør (Dragør Kommune)",46.9,47.1,47.4,47.6
"7194 Greve (Greve Kommune)",39.7,40.0,40.4,40.7
"7195 Hundige-Kildebrønde (Greve Kommune)",40.8,41.0,41.1,41.3
"7196 Reerslev (Høje-Taastrup Kommune)",37.1,37.9,38.5,39.4
"7197 Vindinge (Roskilde Kommune)",39.4,39.8,39.8,40.0
"7198 Snoldelev (Roskilde Kommune)",37.7,38.5,38.9,39.1
