"Gennemsnitsalder efter sogn og tid"

" ","2010","2011","2012","2013"
"7407 Melby (Halsnæs Kommune)",43.3,43.8,44.2,44.7
"7408 Torup (Halsnæs Kommune)",44.2,44.5,44.9,45.6
"7409 Ølstykke (Egedal Kommune)",37.5,38.0,38.3,38.8
"7410 Stenløse (Egedal Kommune)",40.7,40.7,40.9,41.0
"7411 Veksø (Egedal Kommune)",36.1,36.5,37.3,37.7
"7412 Slagslunde (Egedal Kommune)",40.6,41.0,41.8,42.8
"7413 Ganløse (Egedal Kommune)",40.5,41.1,41.4,41.7
"7414 Farum (Furesø Kommune)",39.8,40.2,40.6,41.2
"7415 Hillerød (Hillerød Kommune)",40.7,40.9,40.6,40.6
"7416 Nørre Herlev (Hillerød Kommune)",38.8,39.4,40.0,40.3
"7417 Præstevang (Hillerød Kommune)",41.9,42.2,42.3,42.5
"7418 Frederikssund (Frederikssund Kommune)",45.1,45.1,45.1,45.3
"7419 Oppe Sundby (Frederikssund Kommune)",39.9,40.3,40.6,40.7
"7420 Snostrup (Frederikssund Kommune)",39.2,39.5,39.9,40.7
"7421 Slangerup (Frederikssund Kommune)",38.7,39.1,39.6,39.9
"7422 Uvelse (Hillerød Kommune, Frederikssund Kommune)",39.0,39.0,39.0,39.6
"7423 Græse (Frederikssund Kommune)",36.1,36.6,37.4,38.2
"7424 Sigerslevvester (Frederikssund Kommune)",41.2,41.9,42.9,42.8
"7425 Lynge (Allerød Kommune)",37.6,38.1,38.3,38.9
"7426 Uggeløse (Allerød Kommune)",40.4,40.6,41.6,42.0
"7427 Jørlunde (Egedal Kommune, Frederikssund Kommune)",38.7,39.0,39.3,40.1
"7428 Esbønderup (Gribskov Kommune)",42.5,40.1,40.3,41.0
"7429 Nødebo (Hillerød Kommune)",40.2,40.8,41.4,42.1
"7430 Søborg (Gribskov Kommune)",44.3,45.8,46.8,47.9
"7431 Gilleleje (Gribskov Kommune)",45.1,45.7,46.3,46.7
"7432 Græsted (Gribskov Kommune)",40.3,40.5,41.1,41.4
"7433 Mårum (Gribskov Kommune)",40.7,40.8,41.4,41.7
"7434 Helsinge (Gribskov Kommune)",41.4,41.7,42.1,42.2
"7435 Valby (Gribskov Kommune)",39.6,39.7,39.8,40.7
"7436 Frederiksborg Slotssogn (Hillerød Kommune)",42.6,42.7,42.8,43.1
"7437 Sankt Olai (Helsingør Kommune)",39.9,40.3,40.5,40.8
"7438 Sankt Mariæ (Helsingør Kommune)",48.4,48.6,49.1,49.4
"7439 Vestervang (Helsingør Kommune)",41.6,41.5,41.6,41.7
"7440 Tikøb (Helsingør Kommune)",40.1,40.4,40.6,41.0
"7441 Hornbæk (Helsingør Kommune)",43.4,44.1,44.6,45.2
"7442 Hellebæk (Helsingør Kommune)",42.6,42.8,43.1,43.9
"7443 Egebæksvang (Helsingør Kommune)",41.7,42.1,42.4,42.6
"7444 Asminderød (Fredensborg Kommune)",41.9,42.2,42.7,42.9
"7445 Grønholt (Fredensborg Kommune)",42.3,42.3,43.0,43.4
"7446 Humlebæk (Fredensborg Kommune)",41.8,42.1,42.4,42.9
"7447 Birkerød (Rudersdal Kommune)",41.0,41.0,41.4,41.7
"7448 Bistrup (Rudersdal Kommune)",41.5,41.5,41.7,42.1
"7449 Blovstrød (Allerød Kommune, Fredensborg Kommune, Hørsholm Kommune)",42.7,43.1,43.8,44.4
"7450 Lillerød (Allerød Kommune)",39.9,40.3,40.7,41.3
"7451 Hørsholm (Hørsholm Kommune)",45.1,45.3,45.6,45.6
"7452 Karlebo (Fredensborg Kommune)",40.0,40.3,40.6,41.0
"7453 Gerlev (Frederikssund Kommune)",39.6,40.1,40.9,41.7
"7454 Draaby (Frederikssund Kommune)",44.7,45.0,43.6,43.9
"7455 Skibby (Frederikssund Kommune)",41.6,42.0,42.5,42.9
"7456 Ferslev (Frederikssund Kommune)",41.6,41.9,42.2,43.3
"7457 Vellerup (Frederikssund Kommune)",52.0,52.8,52.5,53.3
"7458 Skuldelev (Frederikssund Kommune)",41.2,41.9,42.3,43.1
"7459 Selsø (Frederikssund Kommune)",44.8,45.3,45.6,46.0
"7460 Kyndby (Frederikssund Kommune)",39.2,40.2,40.3,41.1
"7461 Krogstrup (Frederikssund Kommune)",40.9,41.5,42.3,42.6
"7462 Næsby (Næstved Kommune)",38.2,38.7,40.5,41.8
"7463 Tyvelse (Næstved Kommune)",36.3,36.0,37.7,39.0
"7464 Sandby (Næstved Kommune)",36.9,37.6,37.9,38.0
"7465 Vrangstrup (Næstved Kommune)",36.8,37.0,38.5,39.2
"7466 Præstø (Vordingborg Kommune)",42.6,42.9,43.7,44.1
"7467 Ullerød (Hillerød Kommune)",37.5,37.5,37.7,37.8
"7468 Skibinge (Vordingborg Kommune)",47.7,47.7,47.9,48.9
"7469 Vordingborg (Vordingborg Kommune)",44.1,44.1,44.2,44.4
"7470 Kastrup (Vordingborg Kommune)",38.4,38.6,38.5,38.8
"7471 Jungshoved (Vordingborg Kommune)",47.1,47.8,48.2,48.8
"7472 Everdrup (Næstved Kommune)",41.8,42.0,41.7,42.5
"7473 Snesere (Næstved Kommune)",39.0,39.5,40.1,40.5
"7474 Bårse (Vordingborg Kommune)",42.9,43.1,43.5,43.2
"7475 Beldringe (Vordingborg Kommune)",38.1,37.6,37.9,38.7
"7476 Allerslev (Vordingborg Kommune)",41.1,41.3,42.3,43.0
"7477 Udby (Vordingborg Kommune)",37.7,38.1,38.5,38.3
"7478 Ørslev (Vordingborg Kommune)",42.0,42.0,42.3,43.1
"7479 Øster Egesborg (Vordingborg Kommune)",36.5,37.1,38.4,39.0
"7480 Mern (Vordingborg Kommune)",41.7,42.4,43.6,43.9
"7481 Kalvehave (Vordingborg Kommune)",46.7,47.2,47.4,48.5
"7483 Stege (Vordingborg Kommune)",48.1,48.4,49.0,49.0
"7485 Nyord (Vordingborg Kommune)",57.3,57.2,57.1,61.9
"7486 Keldby (Vordingborg Kommune)",43.6,43.5,44.1,44.7
"7487 Elmelunde (Vordingborg Kommune)",44.8,44.8,45.1,45.8
"7488 Borre (Vordingborg Kommune)",46.2,46.6,48.1,49.1
"7489 Magleby (Vordingborg Kommune)",50.6,50.9,50.9,52.2
"7490 Damsholte (Vordingborg Kommune)",42.1,42.5,42.6,43.1
"7491 Fanefjord (Vordingborg Kommune)",44.3,44.9,45.5,45.6
"7492 Lellinge (Køge Kommune)",40.5,40.9,41.0,41.4
"7493 Lille Heddinge (Stevns Kommune)",47.6,47.5,48.1,49.4
"7494 Havnelev (Stevns Kommune)",47.8,47.8,47.2,47.5
"7495 Magleby Stevns (Stevns Kommune)",41.5,41.8,41.7,42.3
"7496 Holtug (Stevns Kommune)",40.9,40.8,41.6,42.1
"7497 Strøby (Stevns Kommune)",44.0,44.5,44.8,45.3
"7498 Varpelev (Stevns Kommune)",39.0,37.4,38.4,39.1
"7499 Toksværd (Næstved Kommune)",38.9,39.4,39.6,40.3
"7500 Rønnebæk (Næstved Kommune)",39.7,40.2,40.3,40.7
"7501 Holme Olstrup (Næstved Kommune)",40.1,40.6,41.3,41.6
"7502 Næstelsø (Næstved Kommune)",42.2,42.3,41.9,42.3
"7503 Mogenstrup (Næstved Kommune)",40.1,40.4,41.0,41.6
"7504 Vejlø (Næstved Kommune)",43.8,44.0,44.2,44.7
"7505 Vester Egesborg (Næstved Kommune)",38.5,39.0,38.8,39.9
"7506 Hammer (Næstved Kommune)",38.9,39.2,39.2,39.8
"7507 Lundby (Vordingborg Kommune)",37.9,38.8,38.6,39.4
"7508 Køng (Vordingborg Kommune)",40.2,40.2,41.2,41.5
"7509 Sværdborg (Vordingborg Kommune)",39.3,39.5,40.0,40.5
"7510 Sankt Peders (Næstved Kommune)",40.7,40.7,40.9,40.7
"7511 Sankt Mortens (Næstved Kommune)",41.6,41.6,41.8,42.1
"7512 Vester Egede (Faxe Kommune)",44.1,44.5,43.6,43.3
"7513 Aversi (Næstved Kommune)",40.2,39.5,40.0,40.3
"7514 Tybjerg (Næstved Kommune)",37.9,38.4,39.6,40.6
"7515 Herlufmagle (Næstved Kommune)",40.5,41.1,41.7,42.0
"7516 Fensmark (Næstved Kommune)",39.9,40.2,40.1,40.5
"7517 Rislev (Næstved Kommune)",38.9,38.9,38.9,39.4
"7518 Skelby (Næstved Kommune)",38.2,38.9,39.7,40.1
"7519 Glumsø (Næstved Kommune)",42.2,42.1,42.4,42.8
"7520 Bavelse (Næstved Kommune)",40.4,39.7,40.6,42.1
"7521 Bogø (Vordingborg Kommune)",45.9,46.8,47.5,48.0
"7522 Faxe (Faxe Kommune)",43.1,43.4,43.6,43.7
"7523 Hylleholt (Faxe Kommune)",44.1,44.7,45.2,45.7
"7524 Spjellerup (Faxe Kommune)",39.0,40.4,41.2,43.1
"7525 Smerup (Faxe Kommune)",41.1,40.9,41.2,42.5
"7526 Hellested (Stevns Kommune)",39.6,40.0,40.2,40.9
"7527 Vemmetofte (Faxe Kommune)",46.3,47.0,48.2,48.3
"7528 Karise (Faxe Kommune)",42.8,43.1,43.8,44.0
"7529 Alslev (Faxe Kommune)",37.4,38.0,38.8,39.5
"7530 Sønder Dalby (Faxe Kommune)",38.5,38.9,39.5,40.4
"7531 Tureby (Faxe Kommune)",41.1,41.0,40.6,40.3
"7532 Ulse (Faxe Kommune)",41.5,42.5,43.2,43.8
"7533 Øster Egede (Faxe Kommune)",40.4,41.2,43.1,44.5
"7534 Kongsted (Faxe Kommune)",41.8,42.4,42.8,43.3
"7535 Roholte (Faxe Kommune)",44.8,44.8,45.4,44.7
"7536 Lidemark (Køge Kommune)",41.0,41.3,42.1,42.2
"7537 Bjæverskov (Køge Kommune)",38.6,39.0,39.6,40.2
"7538 Vollerslev (Køge Kommune)",44.6,45.3,44.8,44.8
"7539 Gørslev (Køge Kommune)",38.8,38.9,39.3,39.6
"7540 Herfølge (Køge Kommune)",38.9,39.2,39.6,39.8
"7541 Sædder (Køge Kommune, Faxe Kommune)",37.5,38.4,38.9,39.2
"7542 Valløby (Stevns Kommune)",41.0,40.8,40.9,41.6
"7543 Tårnby (Stevns Kommune)",40.3,40.1,40.1,40.8
"7544 Hårlev (Faxe Kommune, Stevns Kommune)",42.9,43.3,43.3,43.5
"7545 Himlingøje (Stevns Kommune)",37.9,38.3,38.5,38.8
"7546 Endeslev (Stevns Kommune)",40.3,41.1,41.4,42.0
"7547 Vråby (Stevns Kommune)",38.7,40.2,41.0,42.4
"7548 Store Heddinge (Stevns Kommune)",42.6,43.0,43.4,43.6
"7549 Højerup (Stevns Kommune)",43.1,43.3,44.8,45.3
"7550 Lyderslev (Stevns Kommune)",39.7,40.3,41.1,41.8
"7551 Frøslev (Stevns Kommune)",40.4,41.5,41.8,41.7
"7552 Rønne (Bornholm Kommune)",45.3,45.5,45.6,45.7
"7553 Knudsker (Bornholm Kommune)",41.3,41.6,41.9,43.0
"7554 Vestermarie (Bornholm Kommune)",39.9,40.3,40.8,42.0
"7555 Nylarsker (Bornholm Kommune)",45.9,46.0,46.9,47.7
"7556 Nyker (Bornholm Kommune)",41.8,42.2,43.0,43.7
"7557 Hasle (Bornholm Kommune)",46.9,47.6,48.2,48.7
"7558 Rutsker (Bornholm Kommune)",46.9,46.9,48.0,48.2
"7559 Olsker (Bornholm Kommune)",48.3,48.4,48.7,49.9
"7560 Allinge-Sandvig (Bornholm Kommune)",49.0,50.0,51.1,51.6
"7561 Klemensker (Bornholm Kommune)",42.1,42.1,43.0,43.0
"7562 Rø (Bornholm Kommune)",45.0,46.0,46.8,47.0
"7563 Ibsker (Bornholm Kommune)",47.3,48.3,48.8,49.5
"7564 Svaneke (Bornholm Kommune)",49.8,51.0,51.1,50.9
"7565 Østerlarsker (Bornholm Kommune)",43.3,43.6,45.0,45.2
"7566 Gudhjem (Bornholm Kommune)",53.3,54.2,54.3,55.1
"7567 Østermarie (Bornholm Kommune)",44.1,44.4,44.7,44.2
"7568 Christiansø (Christiansø Kommune)",40.7,42.1,39.9,44.6
"7569 Aaker (Bornholm Kommune)",45.0,45.5,46.0,46.4
"7570 Bodilsker (Bornholm Kommune)",43.0,43.0,43.2,44.1
"7571 Nexø (Bornholm Kommune)",45.3,45.3,45.9,46.6
"7572 Poulsker (Bornholm Kommune)",46.4,47.3,47.9,48.8
"7573 Pedersker (Bornholm Kommune)",43.5,43.0,44.1,44.8
"7575 Ønslev (Guldborgsund Kommune)",41.9,42.3,43.3,43.6
"7576 Eskilstrup (Guldborgsund Kommune)",42.5,42.6,43.3,43.4
"7577 Tingsted (Guldborgsund Kommune)",37.8,37.7,37.7,38.2
"7578 Nykøbing F (Guldborgsund Kommune)",42.9,43.1,43.2,43.4
"7579 Idestrup (Guldborgsund Kommune)",44.3,44.0,44.7,45.2
"7580 Væggerløse (Guldborgsund Kommune)",50.3,50.7,51.1,51.7
"7581 Skelby (Guldborgsund Kommune)",45.5,45.0,46.4,46.5
"7582 Gedesby (Guldborgsund Kommune)",51.3,52.9,52.9,53.4
"7583 Sønder Kirkeby (Guldborgsund Kommune)",38.4,39.9,40.2,39.7
"7584 Sønder Alslev (Guldborgsund Kommune)",51.3,52.5,52.5,55.6
"7585 Karleby (Guldborgsund Kommune)",43.8,43.7,44.5,45.6
"7586 Horreby (Guldborgsund Kommune)",42.7,42.5,42.9,43.9
"7587 Nørre Ørslev (Guldborgsund Kommune)",38.0,38.4,39.0,39.0
"7588 Systofte (Guldborgsund Kommune)",42.5,42.2,42.3,42.9
"7589 Horbelev (Guldborgsund Kommune)",42.7,43.4,43.5,44.0
"7590 Falkerslev (Guldborgsund Kommune)",41.6,40.9,41.3,41.8
"7591 Aastrup (Guldborgsund Kommune)",44.3,44.7,45.1,46.0
"7592 Tårs (Guldborgsund Kommune)",38.5,38.7,39.0,39.2
"7593 Vigsnæs (Guldborgsund Kommune)",42.5,43.3,45.1,46.0
"7594 Majbølle (Guldborgsund Kommune)",45.6,46.4,47.0,47.9
"7595 Radsted (Guldborgsund Kommune)",40.5,40.7,41.7,42.1
"7596 Toreby (Guldborgsund Kommune)",44.3,44.4,44.6,45.1
"7597 Slemminge (Guldborgsund Kommune)",44.1,43.9,44.7,45.3
"7598 Fjelde (Guldborgsund Kommune)",43.6,42.4,44.0,44.1
"7599 Døllefjelde (Guldborgsund Kommune)",42.6,42.8,42.5,43.7
"7600 Musse (Guldborgsund Kommune)",45.0,45.8,47.7,48.1
"7601 Herritslev (Guldborgsund Kommune)",48.9,50.4,49.6,50.5
"7602 Øster Ulslev (Guldborgsund Kommune)",40.9,42.3,43.2,41.5
"7603 Vester Ulslev (Guldborgsund Kommune)",44.3,44.9,45.6,44.4
"7604 Godsted (Guldborgsund Kommune)",45.2,46.4,46.8,50.3
"7605 Kettinge (Guldborgsund Kommune)",42.4,42.6,43.1,43.8
"7606 Bregninge (Guldborgsund Kommune)",38.7,38.9,39.5,41.3
"7607 Stubbekøbing (Guldborgsund Kommune)",50.3,49.4,49.3,49.7
"7608 Maglebrænde (Guldborgsund Kommune)",42.1,42.8,43.9,45.0
"7609 Torkilstrup (Guldborgsund Kommune)",40.4,40.2,40.7,41.4
"7610 Lillebrænde (Guldborgsund Kommune)",43.6,44.4,45.6,45.3
"7611 Gundslev (Guldborgsund Kommune)",43.2,43.2,43.7,45.1
"7612 Nørre Vedby (Guldborgsund Kommune)",43.1,43.7,43.6,44.5
"7613 Nørre Alslev (Guldborgsund Kommune)",46.3,46.2,46.8,46.9
"7614 Nørre Kirkeby (Guldborgsund Kommune)",40.8,40.6,41.3,42.5
"7615 Vålse (Guldborgsund Kommune)",41.4,41.3,41.3,40.8
"7616 Kippinge (Guldborgsund Kommune)",40.0,40.3,40.4,41.4
"7617 Stadager (Guldborgsund Kommune)",40.9,42.3,42.8,43.8
"7618 Brarup (Guldborgsund Kommune)",43.5,43.3,44.9,46.3
"7619 Købelev (Lolland Kommune)",47.1,48.0,48.0,47.4
"7620 Vindeby (Lolland Kommune)",46.1,47.4,46.5,48.4
"7621 Utterslev (Lolland Kommune)",46.9,46.7,45.8,46.4
"7622 Horslunde (Lolland Kommune)",46.0,48.5,48.9,49.9
"7623 Nordlunde (Lolland Kommune)",38.6,39.2,37.7,38.8
"7624 Herredskirke (Lolland Kommune)",42.1,43.5,45.7,44.4
"7625 Løjtofte (Lolland Kommune)",41.3,42.1,42.7,42.8
"7626 Halsted (Lolland Kommune)",38.7,39.9,40.6,39.9
"7627 Avnede (Lolland Kommune)",43.2,44.3,44.9,44.9
"7628 Vestenskov (Lolland Kommune)",45.5,47.2,47.6,49.0
"7629 Kappel (Lolland Kommune)",49.3,45.7,46.1,47.2
"7630 Dannemare (Lolland Kommune)",48.2,47.7,49.0,50.8
"7631 Tillitse (Lolland Kommune)",45.2,46.2,46.2,47.1
"7632 Gloslunde (Lolland Kommune)",47.1,47.3,47.9,48.4
"7633 Græshave (Lolland Kommune)",44.4,43.6,44.2,43.4
"7634 Landet (Lolland Kommune)",45.1,45.3,45.4,47.2
"7635 Ryde (Lolland Kommune)",41.9,41.1,43.9,44.7
"7636 Søllested (Lolland Kommune)",46.1,46.5,47.2,47.1
"7637 Skovlænge (Lolland Kommune)",36.0,35.9,36.8,38.7
"7638 Gurreby (Lolland Kommune)",42.0,41.9,40.8,40.6
"7639 Stokkemarke (Lolland Kommune)",45.0,45.5,46.4,46.9
"7640 Vesterborg (Lolland Kommune)",45.2,45.6,45.9,46.8
"7641 Birket (Lolland Kommune)",50.9,51.0,52.4,52.3
"7642 Sakskøbing (Guldborgsund Kommune)",47.3,47.5,47.9,48.4
"7643 Nysted (Guldborgsund Kommune)",52.1,52.3,52.7,53.3
"7644 Våbensted (Guldborgsund Kommune)",38.7,39.5,40.1,41.3
"7645 Engestofte (Guldborgsund Kommune)",44.0,41.3,41.4,41.2
"7646 Hunseby (Lolland Kommune)",41.5,41.9,42.4,42.7
"7647 Vantore (Guldborgsund Kommune)",40.8,39.8,40.0,41.8
"7648 Maribo Domsogn (Lolland Kommune)",47.2,47.4,47.1,47.6
"7649 Hillested (Lolland Kommune)",42.4,42.3,43.4,44.7
"7650 Skørringe (Lolland Kommune)",47.0,46.4,46.0,46.5
"7651 Rødby (Lolland Kommune)",48.5,48.3,49.3,49.6
"7652 Ringsebølle (Lolland Kommune)",40.3,40.5,40.6,41.0
"7653 Tågerup (Lolland Kommune)",43.6,44.0,45.4,46.9
"7654 Torslunde (Lolland Kommune)",45.4,45.5,46.6,47.5
"7655 Errindlev (Lolland Kommune)",46.9,47.5,48.2,49.1
"7656 Olstrup (Lolland Kommune)",46.8,47.5,47.4,50.0
"7657 Fuglse (Lolland Kommune)",44.7,45.0,45.5,46.5
"7658 Krønge (Lolland Kommune)",42.2,41.1,43.7,44.9
"7659 Holeby (Lolland Kommune)",46.5,46.7,46.9,47.4
"7660 Bursø (Lolland Kommune)",46.0,45.7,45.7,46.2
"7661 Nebbelunde (Lolland Kommune)",41.5,41.5,41.2,41.5
"7662 Sædinge (Lolland Kommune)",44.6,45.7,45.7,46.2
"7663 Tirsted (Lolland Kommune)",42.9,43.6,43.9,44.6
"7664 Vejleby (Lolland Kommune)",37.9,38.8,39.2,40.0
"7665 Østofte (Lolland Kommune)",41.8,42.5,42.7,43.2
"7666 Bandholm (Lolland Kommune)",47.3,46.9,48.6,49.1
"7667 Fejø (Lolland Kommune)",51.8,52.6,53.5,54.5
"7668 Femø (Lolland Kommune)",61.8,60.7,64.5,66.1
"7669 Askø (Lolland Kommune)",64.2,64.1,62.9,64.2
"7670 Sankt Nikolai (Lolland Kommune)",45.5,45.5,45.8,45.9
"7671 Branderslev (Lolland Kommune)",41.1,41.3,42.3,42.9
"7672 Stormarks (Lolland Kommune)",43.4,43.8,44.3,44.5
"7673 Arninge (Lolland Kommune)",43.0,45.7,45.0,45.9
"7674 Sandby (Lolland Kommune)",47.3,47.9,47.8,47.4
"7675 Vor Frue (Svendborg Kommune)",39.1,39.3,39.8,40.0
"7676 Sankt Nikolaj (Svendborg Kommune)",38.9,39.2,39.5,39.7
"7677 Sankt Jørgens (Svendborg Kommune)",44.7,45.1,45.4,45.8
"7678 Sørup (Svendborg Kommune)",40.4,40.7,40.5,40.5
"7679 Skårup (Svendborg Kommune)",39.6,40.2,40.5,40.9
"7680 Tved (Svendborg Kommune)",43.8,44.5,44.5,44.5
"7681 Egense (Svendborg Kommune)",43.2,43.5,43.8,44.3
"7682 Øster Skerninge (Svendborg Kommune)",43.3,43.2,42.9,43.5
"7683 Hundstrup (Svendborg Kommune)",38.4,39.3,40.2,40.7
"7684 Ollerup (Svendborg Kommune)",38.5,38.4,38.2,38.4
"7685 Kirkeby (Svendborg Kommune)",38.7,39.1,39.6,40.2
"7686 Stenstrup (Svendborg Kommune)",42.7,43.3,43.0,43.7
"7687 Lunde (Svendborg Kommune)",38.9,40.1,40.4,40.4
"7688 Kværndrup (Faaborg-Midtfyn Kommune)",41.1,40.7,41.4,41.2
"7689 Thurø (Svendborg Kommune)",44.6,45.2,45.7,46.3
"7690 Bregninge (Svendborg Kommune)",46.1,46.3,46.8,47.3
"7691 Landet (Svendborg Kommune)",43.5,44.4,44.4,44.6
"7692 Bjerreby (Svendborg Kommune)",40.5,40.7,40.2,40.6
"7693 Drejø (Svendborg Kommune)",59.1,58.3,58.3,58.3
"7694 Strynø (Langeland Kommune)",45.0,43.9,44.9,48.0
"7695 Fåborg (Faaborg-Midtfyn Kommune)",47.4,47.8,48.0,48.4
"7696 Diernæs (Faaborg-Midtfyn Kommune)",43.9,44.5,45.3,45.9
"7697 Vester Åby (Faaborg-Midtfyn Kommune)",44.3,44.8,45.3,46.3
"7698 Åstrup (Faaborg-Midtfyn Kommune)",45.7,46.9,47.3,47.1
"7699 Vester Skerninge (Svendborg Kommune)",42.2,42.5,42.9,43.3
"7700 Ulbølle (Svendborg Kommune)",40.8,41.1,42.1,42.7
"7701 Heden (Faaborg-Midtfyn Kommune)",40.2,40.4,39.5,40.3
"7702 Bøstrup (Langeland Kommune)",49.3,50.5,51.5,52.9
"7703 Snøde (Langeland Kommune)",49.7,50.6,50.0,48.3
"7704 Stoense (Langeland Kommune)",46.6,47.0,46.9,46.8
"7705 Hou (Langeland Kommune)",56.4,57.0,58.1,58.7
"7706 Longelse (Langeland Kommune)",45.5,46.0,47.3,47.0
"7707 Fuglsbølle (Langeland Kommune)",46.7,47.8,48.9,47.9
"7708 Lindelse (Langeland Kommune)",48.4,48.7,49.5,49.8
"7709 Humble (Langeland Kommune)",48.7,49.6,49.6,50.4
"7710 Tryggelev (Langeland Kommune)",43.2,44.1,46.0,47.0
"7711 Fodslette (Langeland Kommune)",45.3,46.2,44.7,45.4
"7712 Magleby (Langeland Kommune)",50.3,49.1,50.0,50.9
"7713 Ærøskøbing (Ærø Kommune)",55.7,55.7,55.6,55.9
"7714 Marstal (Ærø Kommune)",48.5,48.7,48.7,49.2
"7715 Rise (Ærø Kommune)",45.7,45.8,45.9,47.0
"7716 Tranderup (Ærø Kommune)",44.2,44.6,44.7,45.3
"7717 Bregninge (Ærø Kommune)",45.7,46.8,48.4,48.7
"7718 Søby (Ærø Kommune)",50.8,50.8,50.8,51.1
"7719 Oure (Svendborg Kommune)",42.2,42.9,39.7,40.0
"7720 Vejstrup (Svendborg Kommune)",37.8,38.2,38.8,38.8
"7721 Gudme (Svendborg Kommune)",39.5,39.6,40.2,40.2
"7722 Brudager (Svendborg Kommune)",37.9,39.4,38.8,39.5
"7723 Gudbjerg (Svendborg Kommune)",39.1,39.1,39.6,39.9
"7724 Nyborg (Nyborg Kommune)",44.5,44.7,44.8,45.2
"7725 Aunslev (Nyborg Kommune)",41.4,41.6,42.0,41.8
"7726 Bovense (Nyborg Kommune)",40.8,42.3,43.1,43.7
"7727 Flødstrup (Nyborg Kommune)",38.4,38.9,39.8,40.2
"7728 Ullerslev (Nyborg Kommune)",41.7,41.8,42.3,42.4
"7729 Skellerup (Nyborg Kommune)",38.1,38.4,39.3,40.0
"7730 Ellinge (Nyborg Kommune)",39.8,40.1,40.3,40.7
"7731 Kullerup (Nyborg Kommune)",34.3,35.3,34.7,35.4
"7732 Refsvindinge (Nyborg Kommune)",37.3,37.8,38.0,38.3
"7733 Vindinge (Nyborg Kommune)",40.3,40.9,41.1,41.4
"7734 Frørup (Nyborg Kommune)",39.7,38.1,38.6,39.0
"7735 Ørbæk (Nyborg Kommune)",46.6,47.6,47.6,47.4
"7736 Herrested (Nyborg Kommune)",39.7,40.1,40.1,41.0
"7737 Søllinge (Faaborg-Midtfyn Kommune)",40.5,41.2,41.8,42.8
"7738 Hellerup (Faaborg-Midtfyn Kommune)",37.4,37.5,38.0,39.5
"7739 Sønder Højrup (Faaborg-Midtfyn Kommune)",35.5,35.6,36.4,36.7
"7740 Årslev (Faaborg-Midtfyn Kommune)",38.6,38.6,38.9,39.5
"7741 Rudkøbing (Langeland Kommune)",47.9,48.0,48.4,49.4
"7742 Simmerbølle (Langeland Kommune)",42.6,42.7,42.9,43.7
"7743 Skrøbelev (Langeland Kommune)",40.8,40.7,41.0,41.2
"7744 Tranekær (Langeland Kommune)",52.8,54.7,55.7,56.4
"7745 Tullebølle (Langeland Kommune)",49.3,49.9,50.6,50.6
"7746 Brahetrolleborg (Faaborg-Midtfyn Kommune)",41.8,42.0,43.0,43.2
"7747 Krarup (Faaborg-Midtfyn Kommune)",40.4,40.0,40.6,40.8
"7748 Herringe (Faaborg-Midtfyn Kommune)",38.4,38.5,39.2,39.1
"7749 Gestelev (Faaborg-Midtfyn Kommune)",38.0,38.9,38.8,38.4
"7750 Espe (Faaborg-Midtfyn Kommune)",38.2,38.6,39.0,39.6
"7751 Vantinge (Faaborg-Midtfyn Kommune)",36.8,38.1,39.2,39.5
"7752 Allested (Faaborg-Midtfyn Kommune)",41.5,41.4,42.0,42.6
"7753 Vejle (Faaborg-Midtfyn Kommune)",40.5,40.1,40.9,41.1
"7754 Nørre Broby (Faaborg-Midtfyn Kommune)",42.0,42.4,42.8,43.1
"7755 Sønder Broby (Faaborg-Midtfyn Kommune)",43.3,44.0,43.8,43.7
"7756 Hillerslev (Faaborg-Midtfyn Kommune)",39.2,39.3,39.3,39.4
"7757 Øster Hæsinge (Faaborg-Midtfyn Kommune)",42.6,43.6,43.4,44.3
"7758 Vester Hæsinge (Faaborg-Midtfyn Kommune)",42.0,42.4,43.3,44.3
"7759 Sandholts Lyndelse (Faaborg-Midtfyn Kommune)",40.2,41.5,43.3,43.5
"7760 Jordløse (Assens Kommune)",39.9,40.5,40.4,41.2
"7761 Håstrup (Faaborg-Midtfyn Kommune)",42.4,43.0,43.2,43.1
"7762 Svanninge (Faaborg-Midtfyn Kommune)",44.2,44.5,45.4,46.1
"7763 Horne (Faaborg-Midtfyn Kommune)",45.2,45.6,45.8,46.5
"7764 Lyø (Faaborg-Midtfyn Kommune)",52.5,53.8,55.6,54.7
"7765 Avernakø (Faaborg-Midtfyn Kommune)",50.9,53.2,53.3,52.7
"7766 Ringe (Faaborg-Midtfyn Kommune)",43.0,43.0,43.0,43.1
"7767 Ryslinge (Faaborg-Midtfyn Kommune)",41.4,41.7,42.0,42.7
"7768 Gislev (Faaborg-Midtfyn Kommune)",41.6,41.7,42.1,42.7
"7769 Ellested (Nyborg Kommune)",35.9,35.3,36.6,36.7
"7770 Langå (Nyborg Kommune)",41.2,41.4,40.9,40.3
"7771 Øksendrup (Nyborg Kommune)",40.5,40.0,40.8,42.3
"7772 Hesselager (Svendborg Kommune)",43.3,43.4,44.5,45.5
"7773 Svindinge (Nyborg Kommune)",41.0,40.4,40.0,39.6
"7774 Sankt Knuds (Odense Kommune)",37.0,36.7,36.5,36.7
"7775 Ansgars (Odense Kommune)",37.6,37.3,37.4,36.9
"7776 Bolbro (Odense Kommune)",39.9,39.9,39.7,39.5
