SOGNEKODE;ANTAL.IKKEBESK;SOGNENAVN;KOMNAVN;INDKOMST.BESK;INDKOMST.IKKEBESK;INDKOMST.STUD;INDKOMST.ALLE;INDKOMST.GNS.BESK;INDKOMST.GNS.IKKEBESK;INDKOMST.GNS.STUD;INDKOMST.GNS.ALLE;ANTAL.BESK;ANTAL.STUD;ANTAL.ALLE;KOM.INDKOMST.GNS.BESK;KOM.INDKOMST.GNS.IKKEBESK;KOM.INDKOMST.GNS.STUD;KOM.INDKOMST.GNS.ALLE
7384;840;Pedersborg Sogn;Sorø;426149;211876;177102;330419;500011;230184;190778;386383;1280;70;2190;459838;239682;191439;367710
7386;1210;Lynge Sogn;Sorø;452543;230683;177317;360336;503422;258175;201973;404779;2000;100;3310;459838;239682;191439;367710
7387;90;Vester Broby Sogn;Sorø;423423;203956;0;367463;499373;245044;0;413583;210;0;310;459838;239682;191439;367710
7388;100;Alsted Sogn;Sorø;408406;212487;0;350673;456080;215958;0;384769;260;0;370;459838;239682;191439;367710
7389;260;Fjenneslev Sogn;Sorø;395712;202423;172866;314204;423555;218642;174183;343713;470;30;770;459838;239682;191439;367710
7390;130;Slaglille Sogn;Sorø;402015;217570;150266;322222;431340;236018;163188;354325;230;10;370;459838;239682;191439;367710
7391;110;Bjernede Sogn;Sorø;400359;198933;223124;357999;452566;239746;247835;392027;300;10;420;459838;239682;191439;367710
7392;1560;Blistrup Sogn;Gribskov;395219;205480;166601;308245;440956;238610;186244;346895;1940;80;3580;478301;250922;195616;377653
7393;930;Vejby Sogn;Gribskov;405500;220294;194051;314024;446563;258724;203373;360498;1200;60;2190;478301;250922;195616;377653
7394;740;Tibirke Sogn;Gribskov;444599;239357;198586;326167;521877;276014;205789;395438;730;20;1490;478301;250922;195616;377653
7395;760;Ramløse Sogn;Gribskov;447074;233386;201793;365105;495569;266754;198229;410754;1410;50;2220;478301;250922;195616;377653
7396;580;Annisse Sogn;Gribskov;466311;224103;183912;377275;553352;264093;204696;443931;1040;40;1670;478301;250922;195616;377653
