SOGNEKODE;ANTAL.IKKEBESK;SOGNENAVN;KOMNAVN;INDKOMST.BESK;INDKOMST.IKKEBESK;INDKOMST.STUD;INDKOMST.ALLE;INDKOMST.GNS.BESK;INDKOMST.GNS.IKKEBESK;INDKOMST.GNS.STUD;INDKOMST.GNS.ALLE;ANTAL.BESK;ANTAL.STUD;ANTAL.ALLE;KOM.INDKOMST.GNS.BESK;KOM.INDKOMST.GNS.IKKEBESK;KOM.INDKOMST.GNS.STUD;KOM.INDKOMST.GNS.ALLE
7458;390;Skuldelev Sogn;Frederikssund;406904;209947;202700;314314;429504;222471;209465;338672;550;40;970;484221;242452;200833;381246
7459;230;Selsø Sogn;Frederikssund;410908;210964;222482;320681;439293;251528;220781;357478;330;20;570;484221;242452;200833;381246
7460;220;Kyndby Sogn;Frederikssund;391450;204593;275362;326013;417629;231430;255129;346456;370;20;600;484221;242452;200833;381246
7461;310;Krogstrup Sogn;Frederikssund;389406;203924;202030;292514;409390;209680;196800;325376;450;20;780;484221;242452;200833;381246
7462;70;Næsby Sogn;Næstved;429514;193224;0;364553;459820;206030;0;385390;190;0;260;448150;229539;178083;347953
7463;60;Tyvelse Sogn;Næstved;408453;190640;0;341351;454381;196175;0;384018;160;0;220;448150;229539;178083;347953
7464;110;Sandby Sogn;Næstved;406994;209077;147930;344851;489706;215740;151385;393974;230;10;350;448150;229539;178083;347953
7466;690;Præstø Sogn;Vordingborg;391544;223864;146243;266768;420964;235307;162750;321191;670;50;1400;428681;228858;179418;327529
7467;1480;Ullerød Sogn;Hillerød;464341;245515;195165;391458;539725;271419;216670;446871;3170;150;4800;528981;264725;186443;423735
7468;1170;Skibinge Sogn;Vordingborg;406476;221932;137396;289199;446683;236580;164548;336963;1140;40;2350;428681;228858;179418;327529
7469;4640;Vordingborg Sogn;Vordingborg;394456;225348;145011;280172;434207;239623;163030;326552;4640;590;9870;428681;228858;179418;327529
7470;810;Kastrup Sogn;Vordingborg;400453;197743;179593;302982;436162;211371;199670;333486;1110;110;2040;428681;228858;179418;327529
7471;290;Jungshoved Sogn;Vordingborg;387020;201656;0;282484;414865;217022;0;321173;340;0;640;428681;228858;179418;327529
7472;280;Everdrup Sogn;Næstved;399095;214295;161286;330753;444745;227579;208780;358940;470;20;770;448150;229539;178083;347953
7473;670;Snesere Sogn;Næstved;397579;206894;227783;322909;433794;214964;220344;350834;1220;80;1970;448150;229539;178083;347953
7474;230;Bårse Sogn;Vordingborg;383663;211935;285093;296411;409470;227818;278505;330363;310;10;550;428681;228858;179418;327529
7475;80;Beldringe Sogn;Vordingborg;400958;196928;0;330732;460311;214232;0;378605;190;0;280;428681;228858;179418;327529
7476;200;Allerslev Sogn;Vordingborg;398853;199596;194177;302046;447878;215905;185668;358033;340;10;540;428681;228858;179418;327529
7477;80;Udby Sogn;Vordingborg;379462;200712;0;325203;419257;209320;0;347498;160;0;240;428681;228858;179418;327529
7478;630;Ørslev Sogn;Vordingborg;392453;207114;185198;312470;421184;225710;207401;335294;890;60;1580;428681;228858;179418;327529
7479;160;Øster Egesborg Sogn;Vordingborg;396971;193312;225811;334878;460777;214063;219860;370233;290;10;460;428681;228858;179418;327529
7480;490;Mern Sogn;Vordingborg;380867;209646;225312;280577;405577;216221;219566;314918;590;50;1130;428681;228858;179418;327529
7481;820;Kalvehave Sogn;Vordingborg;377551;208917;203035;270948;416790;220960;206800;314076;790;40;1660;428681;228858;179418;327529
7483;2160;Stege Sogn;Vordingborg;364671;217692;183768;258235;399279;227787;201493;300212;1670;90;3930;428681;228858;179418;327529
7486;160;Keldby Sogn;Vordingborg;376343;197496;170287;295600;395493;217954;167276;319149;230;10;400;428681;228858;179418;327529
7487;160;Elmelunde Sogn;Vordingborg;380201;197024;0;260400;403912;219585;0;312134;180;0;350;428681;228858;179418;327529
7488;220;Borre Sogn;Vordingborg;363813;195809;0;245477;422636;208762;0;310594;200;0;420;428681;228858;179418;327529
7489;280;Magleby Sogn;Vordingborg;368274;202021;140615;240495;475097;221252;219524;326771;210;10;490;428681;228858;179418;327529
7490;250;Damsholte Sogn;Vordingborg;366381;201972;0;305375;417802;243707;0;348752;400;0;670;428681;228858;179418;327529
7491;500;Fanefjord Sogn;Vordingborg;374959;210503;165832;272871;428976;229036;169926;327379;530;30;1070;428681;228858;179418;327529
7492;230;Lellinge Sogn;Køge;464224;226511;190534;381891;539030;304484;185229;454318;460;20;710;482312;238786;189483;379634
7493;450;Lille Heddinge Sogn;Stevns;387077;206464;231960;283200;434559;225176;246106;328134;450;20;920;454231;237793;198096;361651
7494;540;Havnelev Sogn;Stevns;397676;213435;217104;294506;443161;257420;208019;348104;550;20;1110;454231;237793;198096;361651
7495;340;Magleby Stevns Sogn;Stevns;399668;207571;197224;320062;433954;221674;192485;351657;590;30;950;454231;237793;198096;361651
7496;160;Holtug Sogn;Stevns;382295;210977;131639;317503;417545;237301;169189;346520;280;10;450;454231;237793;198096;361651
7497;1770;Strøby Sogn;Stevns;446386;216030;216220;341227;514419;254193;209864;401718;2470;90;4320;454231;237793;198096;361651
7498;60;Varpelev Sogn;Stevns;444734;190870;0;339010;494729;202719;0;382162;100;0;160;454231;237793;198096;361651
7499;400;Toksværd Sogn;Næstved;398453;210929;238124;331507;448437;216649;253598;369164;810;30;1230;448150;229539;178083;347953
7500;650;Rønnebæk Sogn;Næstved;408549;208222;190767;335011;435967;231675;204366;353433;1060;60;1770;448150;229539;178083;347953
7501;370;Holme Olstrup Sogn;Næstved;405503;200974;187018;334602;450691;218008;193509;360952;660;40;1070;448150;229539;178083;347953
7502;150;Næstelsø Sogn;Næstved;410058;227803;236092;349526;443218;237818;256492;369921;300;20;470;448150;229539;178083;347953
7503;530;Mogenstrup Sogn;Næstved;429273;216548;220951;349242;517354;245479;208029;407950;860;40;1430;448150;229539;178083;347953
7504;650;Vejlø Sogn;Næstved;435773;220227;177481;346382;515177;261998;181370;406746;950;40;1640;448150;229539;178083;347953
7505;70;Vester Egesborg Sogn;Næstved;427810;203214;0;358404;491240;230976;0;408531;160;0;240;448150;229539;178083;347953
7506;340;Hammer Sogn;Næstved;408006;207499;162098;343156;437466;212459;181711;356762;690;40;1060;448150;229539;178083;347953
7507;300;Lundby Sogn;Vordingborg;385334;201700;162996;290960;410815;205524;173744;322557;440;30;760;428681;228858;179418;327529
7508;350;Køng Sogn;Vordingborg;398386;204902;196012;306936;473091;228491;183631;371495;560;40;950;428681;228858;179418;327529
7509;270;Sværdborg Sogn;Vordingborg;385729;204956;166809;314340;418044;222231;183898;338277;450;30;750;428681;228858;179418;327529
7510;3170;Sankt Peders Sogn;Næstved;367892;217051;156890;260756;393750;220818;164949;297141;3690;860;7720;448150;229539;178083;347953
7511;2630;Sankt Mortens Sogn;Næstved;403107;222292;163565;305497;449109;242108;176148;349006;3630;470;6730;448150;229539;178083;347953
7512;180;Vester Egede Sogn;Faxe;388669;191747;192427;307199;414146;216183;195057;333356;290;20;480;440111;227575;195023;349712
7514;190;Tybjerg Sogn;Næstved;400621;207508;108901;347978;497194;231972;139839;407825;420;20;620;448150;229539;178083;347953
7515;910;Herlufmagle Sogn;Næstved;397230;205038;215306;321698;434702;214605;214790;347315;1480;60;2450;448150;229539;178083;347953
7516;1370;Fensmark Sogn;Næstved;415385;217100;194182;341098;460078;231690;203174;366491;2170;120;3660;448150;229539;178083;347953
7517;80;Rislev Sogn;Næstved;424574;207668;157344;372463;550213;272543;181769;463831;200;10;290;448150;229539;178083;347953
7518;160;Skelby Sogn;Næstved;390688;195044;127262;323206;441794;206808;135817;360113;320;10;490;448150;229539;178083;347953
7519;690;Glumsø Sogn;Næstved;412346;211634;156818;324338;454285;230898;172171;361854;1060;40;1790;448150;229539;178083;347953
7521;450;Bogø Sogn;Vordingborg;403457;209015;191691;276533;418363;230219;163804;320470;450;20;920;428681;228858;179418;327529
7522;1630;Faxe Sogn;Faxe;386572;215642;185269;288828;419716;224357;209674;326265;1950;140;3710;440111;227575;195023;349712
7523;1170;Hylleholt Sogn;Faxe;396126;220777;151037;303349;449875;233944;152701;344576;1340;60;2570;440111;227575;195023;349712
7524;100;Spjellerup Sogn;Faxe;378610;201629;0;311058;416256;222604;0;347793;190;0;300;440111;227575;195023;349712
7525;110;Smerup Sogn;Faxe;392997;199216;0;310536;413021;229555;0;340913;190;0;310;440111;227575;195023;349712
7526;270;Hellested Sogn;Stevns;398427;202059;268608;339372;432166;231421;296902;364105;550;20;840;454231;237793;198096;361651
7528;890;Karise Sogn;Faxe;394816;204462;202363;306380;431227;214569;190785;336772;1250;60;2210;440111;227575;195023;349712
7529;50;Alslev Sogn;Faxe;407279;202474;0;344492;431547;204885;0;370031;140;0;200;440111;227575;195023;349712
7530;660;Sønder Dalby Sogn;Faxe;403041;204486;196493;341882;447622;231883;211814;375511;1440;60;2150;440111;227575;195023;349712
7532;110;Ulse Sogn;Faxe;415483;196464;199111;342796;446938;216708;180729;369406;240;10;350;440111;227575;195023;349712
7534;780;Kongsted Sogn;Faxe;403349;202884;178089;325614;444236;222540;192732;358950;1360;50;2190;440111;227575;195023;349712
7535;270;Roholte Sogn;Faxe;384674;205322;122684;291789;432355;219369;155959;335465;350;10;640;440111;227575;195023;349712
7536;70;Lidemark Sogn;Køge;455894;178963;0;380297;531032;214694;0;429661;170;0;240;482312;238786;189483;379634
7537;1260;Bjæverskov Sogn;Køge;428485;209818;186708;359336;481165;234163;206861;389857;2300;80;3640;482312;238786;189483;379634
7538;50;Vollerslev Sogn;Køge;408417;187710;0;346271;443706;202625;0;384234;160;0;210;482312;238786;189483;379634
7539;240;Gørslev Sogn;Køge;406417;207351;118450;349018;437046;231546;156830;367532;500;10;750;482312;238786;189483;379634
7540;3420;Herfølge Sogn;Køge;417018;221824;176200;326609;475813;233448;194815;372537;5170;330;8920;482312;238786;189483;379634
7541;300;Sædder Sogn;Køge;411028;205091;179838;356068;452012;226535;203604;382166;710;20;1030;482312;238786;189483;379634
7542;230;Valløby Sogn;Stevns;434719;223010;177019;366764;483997;252827;197540;404318;490;20;750;454231;237793;198096;361651
7543;60;Tårnby Sogn;Stevns;401879;202908;0;335059;445827;218226;0;376883;150;0;220;454231;237793;198096;361651
7544;1000;Hårlev Sogn;Stevns;398725;213530;148322;316756;421315;234595;191832;337333;1310;50;2360;454231;237793;198096;361651
7545;70;Himlingøje Sogn;Stevns;406725;204164;155509;353932;470999;230480;150928;381909;140;10;220;454231;237793;198096;361651
7546;120;Endeslev Sogn;Stevns;442816;219295;0;368481;503369;243398;0;421427;280;0;400;454231;237793;198096;361651
7547;60;Vråby Sogn;Stevns;396635;215448;0;340754;445936;232345;0;380087;170;0;240;454231;237793;198096;361651
7548;1430;Store Heddinge Sogn;Stevns;381844;212769;181562;292904;408887;224212;175522;325432;1920;110;3460;454231;237793;198096;361651
7549;70;Højerup Sogn;Stevns;403816;190164;0;318284;432153;195672;0;339721;120;0;190;454231;237793;198096;361651
7550;210;Lyderslev Sogn;Stevns;381932;209481;159995;302356;456000;221748;174412;356175;300;10;520;454231;237793;198096;361651
7551;80;Frøslev Sogn;Stevns;382032;203697;0;329069;445693;270768;0;389356;170;0;250;454231;237793;198096;361651
7552;4460;Rønne Sogn;Bornholm;375198;221391;172443;278239;415181;234697;180915;315832;4290;480;9220;410874;228956;193816;314883
7553;910;Knudsker Sogn;Bornholm;381505;226147;217239;309184;422082;242293;213212;335590;1070;70;2040;410874;228956;193816;314883
7554;370;Vestermarie Sogn;Bornholm;359625;197339;240810;301989;381542;207931;240652;311857;590;30;990;410874;228956;193816;314883
7555;310;Nylarsker Sogn;Bornholm;359998;205625;217820;277552;409916;228342;215154;316843;320;20;650;410874;228956;193816;314883
7556;540;Nyker Sogn;Bornholm;363460;208501;209988;290171;403001;224883;210927;317064;630;40;1200;410874;228956;193816;314883
7557;770;Hasle Sogn;Bornholm;358392;209471;200632;255258;389936;227961;209896;296246;600;40;1410;410874;228956;193816;314883
7558;200;Rutsker Sogn;Bornholm;362584;205292;0;286736;500119;228788;0;374355;240;0;440;410874;228956;193816;314883
7559;550;Olsker Sogn;Bornholm;352616;207893;221669;261547;400043;227287;220681;301953;440;20;1020;410874;228956;193816;314883
7560;720;Allinge-Sandvig Sogn;Bornholm;363278;212310;215766;253557;403240;229543;227642;301677;530;20;1280;410874;228956;193816;314883
7561;500;Klemensker Sogn;Bornholm;355562;198239;201015;273624;385118;209218;205471;303808;640;50;1190;410874;228956;193816;314883
7562;170;Rø Sogn;Bornholm;335377;208706;0;248401;351554;234513;0;291647;160;0;340;410874;228956;193816;314883
7563;430;Ibsker Sogn;Bornholm;366335;199349;204379;270630;432571;224336;208619;323958;410;20;860;410874;228956;193816;314883
7564;450;Svaneke Sogn;Bornholm;394168;230679;0;275039;574667;285795;0;409017;350;0;810;410874;228956;193816;314883
7565;260;Østerlarsker Sogn;Bornholm;351920;200716;203622;268442;414371;210338;192251;323105;350;20;630;410874;228956;193816;314883
7566;340;Gudhjem Sogn;Bornholm;372365;209102;0;248953;613598;230373;0;379758;230;0;580;410874;228956;193816;314883
7567;470;Østermarie Sogn;Bornholm;345217;198068;215273;264307;398130;207768;214003;310895;580;30;1080;410874;228956;193816;314883
7569;1200;Aaker Sogn;Bornholm;354828;212957;223829;268004;374790;222569;214576;296708;1220;70;2490;410874;228956;193816;314883
7570;270;Bodilsker Sogn;Bornholm;355710;200253;195950;280946;394102;219612;200949;316268;360;20;650;410874;228956;193816;314883
7571;1510;Nexø Sogn;Bornholm;360488;214482;160422;256860;387126;223571;168547;292572;1240;100;2850;410874;228956;193816;314883
7572;410;Poulsker Sogn;Bornholm;360905;204357;145825;266264;402564;227939;188481;311992;400;10;830;410874;228956;193816;314883
7573;210;Pedersker Sogn;Bornholm;353452;200790;0;252258;398289;213904;0;309042;240;0;460;410874;228956;193816;314883
7575;210;Ønslev Sogn;Guldborgsund;377107;195369;231507;308734;410179;222793;207245;332813;310;10;530;415159;223085;180571;314987
7576;450;Eskilstrup Sogn;Guldborgsund;378708;202191;215422;269318;392656;207687;222620;302884;510;40;1000;415159;223085;180571;314987
7577;610;Tingsted Sogn;Guldborgsund;413089;207325;201237;355973;449424;228668;211743;378590;1420;60;2090;415159;223085;180571;314987
7578;6310;Nykøbing F Sogn;Guldborgsund;377550;215631;152914;261502;408076;226172;164664;302909;5960;1030;13290;415159;223085;180571;314987
7579;680;Idestrup Sogn;Guldborgsund;388920;208033;170960;298491;419736;227027;191490;324135;760;50;1490;415159;223085;180571;314987
7580;1570;Væggerløse Sogn;Guldborgsund;385891;205388;212960;263822;441678;230852;226028;318602;1150;40;2760;415159;223085;180571;314987
7581;100;Skelby Sogn;Guldborgsund;350557;197216;0;249956;377366;224184;0;301174;100;0;210;415159;223085;180571;314987
7582;150;Gedesby Sogn;Guldborgsund;388523;197285;0;234755;436094;215953;0;299968;100;0;250;415159;223085;180571;314987
7583;50;Sønder Kirkeby Sogn;Guldborgsund;379922;207492;0;325126;507821;248675;0;418694;120;0;170;415159;223085;180571;314987
7585;80;Karleby Sogn;Guldborgsund;400135;199408;0;298941;406164;215510;0;329673;120;0;200;415159;223085;180571;314987
7586;150;Horreby Sogn;Guldborgsund;382280;194902;209845;300524;421478;212335;203955;330834;220;10;380;415159;223085;180571;314987
7587;100;Nørre Ørslev Sogn;Guldborgsund;398093;199300;182802;338386;508787;215366;192306;405486;220;20;330;415159;223085;180571;314987
7588;210;Systofte Sogn;Guldborgsund;394097;194347;210182;320305;413884;221456;194179;335946;340;20;560;415159;223085;180571;314987
7589;400;Horbelev Sogn;Guldborgsund;384293;196370;187286;269286;437509;210024;198688;325711;450;30;880;415159;223085;180571;314987
7590;70;Falkerslev Sogn;Guldborgsund;361592;191220;0;280967;413305;194035;0;327111;120;0;200;415159;223085;180571;314987
7591;320;Aastrup Sogn;Guldborgsund;368129;199697;238217;280097;412781;216166;254689;314186;320;10;650;415159;223085;180571;314987
7592;120;Tårs Sogn;Guldborgsund;372205;193754;0;319104;398940;199871;0;327131;230;0;360;415159;223085;180571;314987
7594;380;Majbølle Sogn;Guldborgsund;370223;204094;240581;267244;400368;211928;189385;306836;410;20;810;415159;223085;180571;314987
7595;220;Radsted Sogn;Guldborgsund;363854;196948;177285;294516;416144;214688;204138;332162;340;20;580;415159;223085;180571;314987
7596;1780;Toreby Sogn;Guldborgsund;391775;216509;199679;309337;432484;240432;200825;340759;2140;120;4040;415159;223085;180571;314987
7597;160;Slemminge Sogn;Guldborgsund;364176;207390;100359;281168;380841;224483;156227;302996;180;10;360;415159;223085;180571;314987
7601;160;Herritslev Sogn;Guldborgsund;347959;204527;0;275701;375754;234370;0;307288;170;0;330;415159;223085;180571;314987
7602;120;Øster Ulslev Sogn;Guldborgsund;359969;203079;175118;257524;384227;206493;169624;302471;160;10;300;415159;223085;180571;314987
7603;120;Vester Ulslev Sogn;Guldborgsund;367323;192665;0;282203;407809;211707;0;314769;140;0;260;415159;223085;180571;314987
7605;390;Kettinge Sogn;Guldborgsund;373447;192735;157316;289768;394414;210082;176227;310709;510;20;930;415159;223085;180571;314987
7607;1000;Stubbekøbing Sogn;Guldborgsund;378271;216929;218851;246871;398938;221935;199819;287326;650;80;1730;415159;223085;180571;314987
7608;100;Maglebrænde Sogn;Guldborgsund;359167;184775;0;247682;439696;185132;0;327352;130;0;230;415159;223085;180571;314987
7609;110;Torkilstrup Sogn;Guldborgsund;357870;180676;166412;295019;513268;193866;216385;379548;160;10;280;415159;223085;180571;314987
7610;90;Lillebrænde Sogn;Guldborgsund;372095;195694;0;271062;395879;193247;0;304509;110;0;200;415159;223085;180571;314987
7611;160;Gundslev Sogn;Guldborgsund;382242;207906;199557;306422;409493;223370;231730;336002;260;10;420;415159;223085;180571;314987
7613;950;Nørre Alslev Sogn;Guldborgsund;383044;202739;180765;264017;401603;217423;193053;302978;900;70;1920;415159;223085;180571;314987
7614;50;Nørre Kirkeby Sogn;Guldborgsund;388416;197687;0;316898;445133;200279;0;352884;100;0;160;415159;223085;180571;314987
7619;140;Købelev Sogn;Lolland;338830;190785;0;220113;510458;225650;0;343336;100;0;250;409108;215888;189254;299396
7622;310;Horslunde Sogn;Lolland;363533;210481;188275;257575;385947;219133;178148;293249;260;10;590;409108;215888;189254;299396
7626;150;Halsted Sogn;Lolland;366086;198677;255245;291151;467770;210705;250269;355421;200;10;360;409108;215888;189254;299396
7627;120;Avnede Sogn;Lolland;372907;184014;0;254121;455598;195477;0;318283;110;0;240;409108;215888;189254;299396
7628;180;Vestenskov Sogn;Lolland;385942;195192;0;247763;411184;202404;0;291244;140;0;330;409108;215888;189254;299396
7629;130;Kappel Sogn;Lolland;407637;197116;0;235437;555256;200580;0;341709;90;0;220;409108;215888;189254;299396
7630;240;Dannemare Sogn;Lolland;360808;199681;0;241797;437723;223145;0;304826;150;0;400;409108;215888;189254;299396
7631;150;Tillitse Sogn;Lolland;352604;192251;0;255738;416608;201160;0;312718;160;0;310;409108;215888;189254;299396
7632;150;Gloslunde Sogn;Lolland;354425;199537;0;236531;410107;213201;0;298188;120;0;270;409108;215888;189254;299396
7634;110;Landet Sogn;Lolland;375556;191337;0;249223;471854;217521;0;336637;100;0;210;409108;215888;189254;299396
7635;100;Ryde Sogn;Lolland;374492;202402;0;241137;402337;197391;0;286283;80;0;180;409108;215888;189254;299396
7639;430;Stokkemarke Sogn;Lolland;348691;199959;135117;245252;419261;207089;150709;303008;380;20;830;409108;215888;189254;299396
7640;130;Vesterborg Sogn;Lolland;367951;194164;0;261154;385980;197979;0;290861;130;0;270;409108;215888;189254;299396
7641;240;Birket Sogn;Lolland;347969;197715;0;225743;419104;205994;0;287503;150;0;400;409108;215888;189254;299396
7642;2080;Sakskøbing Sogn;Guldborgsund;372369;214489;187471;251208;397783;227282;185251;295103;1510;130;3710;415159;223085;180571;314987
7643;730;Nysted Sogn;Guldborgsund;366401;213872;140630;244500;391520;229939;157236;282905;390;30;1150;415159;223085;180571;314987
7644;170;Våbensted Sogn;Guldborgsund;376931;195459;172127;304783;413818;202871;142726;334668;300;10;470;415159;223085;180571;314987
7646;610;Hunseby Sogn;Lolland;386542;208301;193040;309102;434558;226395;201042;344171;860;40;1510;409108;215888;189254;299396
7647;80;Vantore Sogn;Guldborgsund;395092;211412;0;320086;462273;238707;0;368008;120;0;200;415159;223085;180571;314987
7648;1930;Maribo Domsogn;Lolland;381262;220270;173142;266214;422241;227187;192471;311609;1620;140;3700;409108;215888;189254;299396
7649;140;Hillested Sogn;Lolland;389582;195354;0;277874;420384;199044;0;319929;180;0;330;409108;215888;189254;299396
7650;100;Skørringe Sogn;Lolland;356826;204540;0;243945;402775;210440;0;300491;90;0;200;409108;215888;189254;299396
7651;760;Rødby Sogn;Lolland;367221;210509;170391;257330;386050;221575;174968;287873;560;40;1360;409108;215888;189254;299396
7652;90;Ringsebølle Sogn;Lolland;373342;196886;0;262099;427952;205579;0;314940;90;0;190;409108;215888;189254;299396
7653;130;Tågerup Sogn;Lolland;350057;193303;0;260209;383069;216044;0;298493;130;0;260;409108;215888;189254;299396
7655;240;Errindlev Sogn;Lolland;371390;184248;0;232496;383170;198074;0;274817;170;0;420;409108;215888;189254;299396
7657;180;Fuglse Sogn;Lolland;365246;199890;232407;263701;454640;215123;224878;332774;180;20;380;409108;215888;189254;299396
7659;670;Holeby Sogn;Lolland;348213;213236;229078;250012;373901;222547;199738;283339;480;40;1190;409108;215888;189254;299396
7660;80;Bursø Sogn;Lolland;350419;198400;0;248317;375148;200797;0;287358;90;0;180;409108;215888;189254;299396
7662;130;Sædinge Sogn;Lolland;371306;198506;0;291974;420493;213911;0;316888;130;0;270;409108;215888;189254;299396
7663;150;Tirsted Sogn;Lolland;370149;193318;141166;258290;470982;195991;176200;328830;160;10;320;409108;215888;189254;299396
7665;320;Østofte Sogn;Lolland;377700;197301;215596;290204;408759;210383;206253;316600;390;20;720;409108;215888;189254;299396
7666;370;Bandholm Sogn;Lolland;377454;204434;180299;245155;474379;214132;216633;312146;230;10;610;409108;215888;189254;299396
7667;220;Fejø Sogn;Lolland;323327;198398;0;232149;354908;209476;0;270326;160;0;390;409108;215888;189254;299396
7670;4010;Sankt Nikolai Sogn;Lolland;373195;212466;173915;244092;395553;216981;176198;283502;2680;320;7010;409108;215888;189254;299396
7671;120;Branderslev Sogn;Lolland;376903;198544;0;289503;397141;203268;0;315068;160;0;280;409108;215888;189254;299396
7672;1440;Stormarks Sogn;Lolland;375723;211779;203597;285410;392967;223576;200826;304871;1450;100;2990;409108;215888;189254;299396
7674;290;Sandby Sogn;Lolland;342046;198333;219562;239580;400598;214107;206772;287591;200;20;500;409108;215888;189254;299396
7675;2880;Vor Frue Sogn;Svendborg;357876;214809;133684;247066;380476;215116;150158;280316;2690;620;6190;453174;239854;158294;343979
7676;1050;Sankt Nikolaj Sogn;Svendborg;373813;234757;139951;257837;429510;255162;150549;318397;1050;300;2400;453174;239854;158294;343979
7677;1890;Sankt Jørgens Sogn;Svendborg;418052;229001;118199;284651;494171;277217;137037;362049;1900;400;4190;453174;239854;158294;343979
7678;1210;Sørup Sogn;Svendborg;363843;212504;136180;261604;386923;215218;151222;290546;1290;240;2740;453174;239854;158294;343979
7679;750;Skårup Sogn;Svendborg;409617;210656;157450;327350;446932;233760;163840;355645;1150;70;1980;453174;239854;158294;343979
7680;950;Tved Sogn;Svendborg;380767;208018;174660;291274;403445;223572;200669;317348;1150;90;2190;453174;239854;158294;343979
7681;770;Egense Sogn;Svendborg;458945;243598;123749;357016;669367;275171;170260;490635;1040;60;1880;453174;239854;158294;343979
7682;280;Øster Skerninge Sogn;Svendborg;408714;210537;107389;304631;454512;242157;139844;350246;370;40;690;453174;239854;158294;343979
7683;140;Hundstrup Sogn;Svendborg;385098;198656;233516;314619;451167;204105;211173;358859;260;20;420;453174;239854;158294;343979
7684;310;Ollerup Sogn;Svendborg;392314;212610;115883;253239;422031;225528;133523;292187;410;210;930;453174;239854;158294;343979
7685;360;Kirkeby Sogn;Svendborg;374665;194327;155205;310874;416435;216660;191240;336928;600;30;990;453174;239854;158294;343979
7686;700;Stenstrup Sogn;Svendborg;371815;203455;144793;284217;392250;218128;174153;307903;830;60;1580;453174;239854;158294;343979
7687;130;Lunde Sogn;Svendborg;366589;203318;239285;287363;402134;232939;203814;334493;220;10;360;453174;239854;158294;343979
7688;770;Kværndrup Sogn;Faaborg-Midtfyn;371214;216122;209528;292665;398326;228603;204677;317769;960;80;1810;429585;225478;191665;335292
7689;1140;Thurø Sogn;Svendborg;446237;221297;169483;346301;599331;271946;199070;452565;1480;40;2660;453174;239854;158294;343979
7690;1350;Bregninge Sogn;Svendborg;439721;231150;184142;346819;521921;274964;213559;407298;1660;60;3060;453174;239854;158294;343979
7691;330;Landet Sogn;Svendborg;373446;200644;204378;293484;410354;224855;226554;330217;460;20;810;453174;239854;158294;343979
7692;270;Bjerreby Sogn;Svendborg;374531;200276;220141;326247;417253;228105;209496;349157;510;20;790;453174;239854;158294;343979
7695;2880;Fåborg Sogn;Faaborg-Midtfyn;378806;210981;169557;253250;422249;228333;172029;304347;2020;150;5050;429585;225478;191665;335292
7696;490;Diernæs Sogn;Faaborg-Midtfyn;405716;217347;252814;309330;472815;243261;256050;359300;530;20;1040;429585;225478;191665;335292
7697;440;Vester Åby Sogn;Faaborg-Midtfyn;364320;199749;224585;271557;401951;208056;221639;310486;510;20;970;429585;225478;191665;335292
7698;160;Åstrup Sogn;Faaborg-Midtfyn;373187;213664;187823;282936;392014;247431;218560;325027;210;10;380;429585;225478;191665;335292
7699;380;Vester Skerninge Sogn;Svendborg;391730;211177;190458;307419;416448;231818;193832;335920;540;30;950;453174;239854;158294;343979
7700;290;Ulbølle Sogn;Svendborg;384451;197566;149653;295401;417606;223336;174990;329249;380;20;680;453174;239854;158294;343979
7701;80;Heden Sogn;Faaborg-Midtfyn;377961;206874;238061;302826;436978;229841;199441;358423;140;10;230;429585;225478;191665;335292
7702;190;Bøstrup Sogn;Langeland;325018;202155;0;229201;368236;208671;0;272510;140;0;340;395653;217815;195461;296343
7703;150;Snøde Sogn;Langeland;344702;202067;0;236326;373145;217543;0;284851;120;0;270;395653;217815;195461;296343
7705;300;Hou Sogn;Langeland;338557;217285;0;244131;351055;238166;0;276654;160;0;470;395653;217815;195461;296343
7706;200;Longelse Sogn;Langeland;356708;190997;0;263095;415490;220414;0;324229;240;0;450;395653;217815;195461;296343
7708;320;Lindelse Sogn;Langeland;352072;204433;0;252147;450221;207603;0;323270;290;0;600;395653;217815;195461;296343
7709;580;Humble Sogn;Langeland;346070;196506;259176;248992;386508;208237;238503;286243;460;20;1050;395653;217815;195461;296343
7710;150;Tryggelev Sogn;Langeland;328243;196464;0;242051;363188;206330;0;271824;110;0;270;395653;217815;195461;296343
7712;180;Magleby Sogn;Langeland;357874;203797;0;257703;406309;220094;0;300442;140;0;320;395653;217815;195461;296343
7713;490;Ærøskøbing Sogn;Ærø;354902;223399;0;254520;379873;235728;0;294049;340;0;840;382681;225619;132963;292029
7714;1180;Marstal Sogn;Ærø;349715;214618;93707;248106;387693;229135;119065;287149;970;170;2310;382681;225619;132963;292029
7715;270;Rise Sogn;Ærø;345926;203725;199812;266986;361677;218794;193614;298108;350;10;630;382681;225619;132963;292029
7716;120;Tranderup Sogn;Ærø;341839;195459;0;274104;378344;206273;0;298136;140;0;260;382681;225619;132963;292029
7717;180;Bregninge Sogn;Ærø;341555;196717;0;260338;386687;224756;0;305080;190;0;380;382681;225619;132963;292029
7718;280;Søby Sogn;Ærø;347349;199426;0;244283;398439;208196;0;290688;220;0;510;382681;225619;132963;292029
7719;180;Oure Sogn;Svendborg;401566;200996;124704;307625;431067;221443;138933;344928;300;20;500;453174;239854;158294;343979
