"Gennemsnitsalder efter sogn og tid"

" ","2014","2015","2016","2017"
"Hele landet",40.9,41.1,41.2,41.3
"7001 Vor Frue (København Kommune)",0.0,0.0,0.0,0.0
"7002 Helligånds (København Kommune)",38.4,38.7,38.5,38.2
"7003 Trinitatis (København Kommune)",35.6,35.7,35.6,35.6
"7004 Sankt Andreas (København Kommune)",0.0,0.0,0.0,0.0
"7007 Sankt Johannes (København Kommune)",0.0,0.0,0.0,0.0
"7008 Simeons (København Kommune)",0.0,0.0,0.0,0.0
"7011 Bethlehem (København Kommune)",37.9,38.0,38.3,38.2
"7015 Maria (København Kommune)",0.0,0.0,0.0,0.0
"7016 Elias (København Kommune)",0.0,0.0,0.0,0.0
"7017 Apostelkirkens (København Kommune)",0.0,0.0,0.0,0.0
"7018 Gethsemane (København Kommune)",0.0,0.0,0.0,0.0
"7019 Sankt Matthæus (København Kommune)",0.0,0.0,0.0,0.0
"7020 Absalons (København Kommune)",0.0,0.0,0.0,0.0
"7021 Kristkirkens (København Kommune)",0.0,0.0,0.0,0.0
"7022 Enghave (København Kommune)",0.0,0.0,0.0,0.0
"7024 Valby (København Kommune)",36.4,36.4,36.4,36.1
"7025 Johannes Døbers (København Kommune)",34.0,33.7,0.0,0.0
"7026 Timotheus (København Kommune)",35.1,35.3,35.3,35.6
"7027 Vigerslev (København Kommune)",36.7,36.6,36.6,35.9
"7028 Aalholm (København Kommune)",37.4,37.4,37.2,37.0
"7030 Margrethe (København Kommune)",37.7,37.6,0.0,0.0
"7036 Holmens (København Kommune)",39.8,40.1,40.8,41.2
"7037 Garnisons (København Kommune)",39.8,40.0,40.5,40.3
"7038 Frederiks (København Kommune)",41.7,42.1,41.9,41.7
"7039 Sankt Pauls (København Kommune)",38.6,39.3,39.4,38.4
"7040 Østervold (København Kommune)",37.0,37.1,37.2,37.3
"7041 Kastels (København Kommune)",38.7,38.9,39.3,39.6
"7042 Frihavns (København Kommune)",0.0,0.0,0.0,0.0
"7043 Rosenvænget (København Kommune)",35.3,35.4,35.4,35.6
"7044 Sankt Jakobs (København Kommune)",37.8,37.8,37.8,38.0
"7045 Davids (København Kommune)",0.0,0.0,0.0,0.0
"7046 Hans Egedes (København Kommune)",35.5,35.7,35.9,35.7
"7050 Anna (København Kommune)",32.7,32.7,32.8,32.9
"7051 Sankt Stefans (København Kommune)",33.0,33.1,33.2,33.2
"7052 Samuels (København Kommune)",0.0,0.0,0.0,0.0
"7053 Kingo-Samuel (København Kommune)",32.0,32.1,32.3,32.3
"7054 Aldersro (København Kommune)",35.0,35.1,35.0,35.4
"7055 Kildevælds (København Kommune)",36.0,35.8,35.8,35.8
"7056 Sions (København Kommune)",40.2,40.2,40.3,40.1
"7057 Hyltebjerg (København Kommune)",38.2,38.2,38.0,38.1
"7058 Vanløse (København Kommune)",37.3,37.5,37.3,37.5
"7059 Advents (København Kommune)",38.1,37.9,37.8,37.5
"7060 Grøndals (København Kommune)",37.5,37.5,37.4,37.3
"7061 Ansgarkirkens (København Kommune)",34.4,34.2,34.4,34.3
"7062 Kapernaums (København Kommune)",31.3,31.2,31.2,31.1
"7063 Tagensbo (København Kommune)",33.7,33.9,33.5,33.6
"7064 Bispebjerg (København Kommune)",37.6,37.4,37.2,37.3
"7065 Emdrup (København Kommune)",39.6,39.2,39.2,39.4
"7066 Lundehus (København Kommune)",40.3,40.2,39.7,39.8
"7067 Husum (København Kommune)",39.5,39.4,39.3,39.2
"7068 Brønshøj (København Kommune)",38.2,37.9,37.8,37.8
"7069 Utterslev (København Kommune)",0.0,0.0,0.0,0.0
"7070 Husumvold (København Kommune)",38.9,38.6,38.1,37.9
"7071 Bellahøj (København Kommune)",0.0,0.0,0.0,0.0
"7080 Islands Brygges (København Kommune)",33.9,33.9,34.3,33.3
"7081 Christians (København Kommune)",37.1,37.4,37.6,37.6
"7082 Vor Frelsers (København Kommune)",38.5,38.1,37.7,37.7
"7083 Nathanaels (København Kommune)",33.6,33.7,33.9,34.1
"7084 Sundby (København Kommune)",35.6,35.8,35.8,35.1
"7085 Allehelgens (København Kommune)",37.1,37.1,37.2,37.2
"7086 Filips (København Kommune)",34.8,34.8,35.1,35.2
"7087 Sundkirkens (København Kommune)",36.1,35.5,35.6,35.8
"7088 Højdevangs (København Kommune)",37.5,37.5,37.3,37.1
"7089 Simon Peters (København Kommune)",37.6,37.5,37.1,37.1
"7090 Solvang (København Kommune)",35.2,35.2,35.1,37.8
"7101 Frederiksberg (Frederiksberg Kommune)",0.0,0.0,0.0,0.0
"7102 Sankt Lukas (Frederiksberg Kommune)",35.9,36.0,36.1,36.0
"7103 Solbjerg (Frederiksberg Kommune)",37.2,37.3,37.3,37.8
"7104 Lindevang (Frederiksberg Kommune)",38.9,38.9,39.0,38.7
