"Gennemsnitsalder efter sogn og tid"

" ","2014","2015","2016","2017"
"7105 Flintholm (Frederiksberg Kommune)",45.2,45.3,45.0,45.3
"7106 Sankt Thomas (Frederiksberg Kommune)",36.9,37.1,37.0,37.1
"7107 Mariendals (Frederiksberg Kommune)",38.1,37.9,37.8,37.8
"7108 Godthaabs (Frederiksberg Kommune)",40.1,40.4,40.7,40.7
"7109 Sankt Markus (Frederiksberg Kommune)",39.0,38.9,39.1,39.2
"7110 Helleruplund (Gentofte Kommune)",39.7,39.8,39.9,40.2
"7111 Gentofte (Gentofte Kommune)",41.4,41.3,41.4,41.4
"7112 Jægersborg (Gentofte Kommune)",42.1,42.5,42.4,42.4
"7113 Vangede (Gentofte Kommune)",39.3,39.4,39.5,39.3
"7114 Dyssegård (Gentofte Kommune)",38.3,38.3,38.3,38.4
"7115 Ordrup (Gentofte Kommune)",44.3,44.3,44.2,44.4
"7116 Skovshoved (Gentofte Kommune)",41.3,41.4,41.7,41.8
"7117 Hellerup (Gentofte Kommune)",42.8,43.0,43.6,44.1
"7118 Maglegårds (Gentofte Kommune)",43.3,43.6,43.9,44.0
"7119 Kongens Lyngby (Lyngby-Taarbæk Kommune)",42.2,42.1,42.0,41.8
"7120 Christians (Lyngby-Taarbæk Kommune)",40.2,40.0,39.9,40.0
"7121 Virum (Lyngby-Taarbæk Kommune)",41.0,41.0,40.7,40.5
"7122 Sorgenfri (Lyngby-Taarbæk Kommune)",42.8,42.8,42.9,43.2
"7123 Lundtofte (Lyngby-Taarbæk Kommune)",42.1,42.2,42.0,42.2
"7124 Taarbæk (Lyngby-Taarbæk Kommune)",43.9,44.6,45.4,45.6
"7125 Søllerød (Rudersdal Kommune)",41.4,41.2,41.3,41.3
"7126 Vedbæk (Rudersdal Kommune)",45.1,45.4,45.6,45.8
"7127 Ny Holte (Rudersdal Kommune)",43.0,43.1,43.2,44.0
"7128 Gammel Holte (Rudersdal Kommune)",42.7,43.3,43.2,43.2
"7129 Nærum (Rudersdal Kommune)",46.1,46.1,46.1,46.0
"7130 Gladsaxe (Gladsaxe Kommune)",38.9,39.1,39.0,39.0
"7131 Søborggård (Gladsaxe Kommune)",39.7,39.7,39.9,39.9
"7132 Bagsværd (Gladsaxe Kommune)",41.3,41.3,41.2,41.3
"7133 Stengård (Gladsaxe Kommune)",39.2,39.3,39.4,39.3
"7134 Mørkhøj (Gladsaxe Kommune)",38.7,38.3,38.5,38.2
"7135 Herlev (Herlev Kommune)",43.4,43.1,42.9,42.8
"7136 Præstebro (Herlev Kommune)",39.4,39.1,39.1,39.1
"7137 Rødovre (Rødovre Kommune)",40.5,40.5,40.6,40.7
"7138 Grøndalslund (Rødovre Kommune)",41.9,41.9,41.9,41.8
"7139 Islev (Rødovre Kommune)",41.6,41.6,41.4,40.9
"7140 Hendriksholm (Rødovre Kommune)",41.2,41.3,41.0,40.9
"7141 Hvidovre (Hvidovre Kommune)",39.3,39.4,39.3,39.4
"7142 Strandmarks (Hvidovre Kommune)",41.5,41.2,41.0,41.0
"7143 Risbjerg (Hvidovre Kommune)",41.5,41.3,41.2,41.3
"7144 Brøndbyvester (Brøndby Kommune)",43.1,43.3,43.2,43.2
"7145 Brøndbyøster (Brøndby Kommune)",43.4,43.1,43.4,43.6
"7146 Avedøre (Hvidovre Kommune)",38.3,38.4,38.6,38.6
"7147 Glostrup (Glostrup Kommune)",41.1,41.1,41.2,41.2
"7148 Herstedøster (Albertslund Kommune)",38.3,38.4,38.4,38.6
"7149 Vallensbæk (Vallensbæk Kommune)",39.7,39.8,40.0,39.9
"7150 Torslunde (Ishøj Kommune)",41.8,42.1,42.3,42.2
"7151 Ishøj (Ishøj Kommune)",38.3,38.4,38.3,38.5
"7152 Høje Tåstrup (Høje-Taastrup Kommune)",36.1,36.3,36.5,37.0
"7153 Tåstrup Nykirke (Høje-Taastrup Kommune)",40.2,40.2,40.0,40.0
"7154 Værløse (Furesø Kommune)",43.3,43.4,43.4,43.4
"7155 Herstedvester (Albertslund Kommune)",39.0,39.4,39.7,39.8
"7156 Roskilde Domsogn (Roskilde Kommune)",41.9,42.2,42.2,42.4
"7157 Roskilde Søndre (Roskilde Kommune)",39.4,38.9,39.0,39.2
"7158 Vor Frue (Roskilde Kommune)",40.2,40.6,39.7,39.9
"7159 Sankt Jørgensbjerg (Roskilde Kommune)",42.2,42.5,42.7,42.8
"7160 Himmelev (Roskilde Kommune)",38.2,38.5,38.7,38.8
"7161 Hvedstrup (Roskilde Kommune)",40.3,41.2,41.8,42.6
"7162 Fløng (Høje-Taastrup Kommune)",40.0,39.7,39.5,39.7
"7163 Herslev (Lejre Kommune)",44.7,43.6,43.9,44.0
"7164 Gevninge (Lejre Kommune)",43.1,44.0,44.0,44.0
"7165 Kornerup (Lejre Kommune)",43.6,43.7,44.1,43.8
"7166 Svogerslev (Roskilde Kommune)",42.8,43.2,43.5,43.8
"7167 Ågerup (Roskilde Kommune)",43.0,43.0,42.7,42.9
"7168 Kirkerup (Roskilde Kommune)",39.3,39.5,39.5,39.4
"7169 Jyllinge (Roskilde Kommune)",40.9,41.4,41.5,41.8
"7170 Gundsømagle (Roskilde Kommune)",41.1,41.7,41.4,41.1
"7171 Osted (Lejre Kommune)",41.2,41.4,41.7,41.9
"7172 Allerslev (Lejre Kommune)",44.2,43.9,43.8,43.5
"7173 Kirke Hvalsø (Lejre Kommune)",41.0,41.5,41.7,41.9
"7174 Særløse (Lejre Kommune)",41.9,42.2,42.2,42.3
"7175 Kirke Saaby (Lejre Kommune)",40.9,41.5,42.0,42.5
"7176 Kisserup (Lejre Kommune)",44.5,45.7,45.7,45.9
"7177 Rye (Lejre Kommune)",43.8,43.9,44.0,44.4
"7178 Kirke Sonnerup (Lejre Kommune)",41.9,42.2,42.6,43.3
"7179 Kirke Hyllinge (Lejre Kommune)",43.1,43.1,43.1,43.2
"7180 Lyndby (Lejre Kommune)",43.1,43.3,44.0,43.9
"7181 Sæby (Lejre Kommune)",47.1,47.3,47.5,48.6
"7182 Gershøj (Lejre Kommune)",45.8,46.5,46.6,47.4
"7183 Frydendal (Holbæk Kommune)",0.0,0.0,0.0,0.0
"7184 Sengeløse (Høje-Taastrup Kommune)",41.7,41.8,41.6,41.9
"7185 Ledøje (Egedal Kommune)",43.7,43.6,43.7,44.1
"7186 Smørum (Egedal Kommune)",39.4,39.4,39.9,40.1
"7187 Ballerup (Ballerup Kommune)",42.3,42.6,42.9,43.1
"7188 Måløv (Ballerup Kommune)",38.6,39.2,39.6,39.9
"7189 Skovlunde (Ballerup Kommune)",42.5,42.7,42.7,42.8
"7190 Tårnby (Tårnby Kommune)",42.0,42.0,42.1,42.0
"7191 Kastrup (Tårnby Kommune)",43.4,43.5,43.6,43.7
"7192 Store Magleby (Dragør Kommune)",42.0,42.1,42.1,42.1
"7193 Dragør (Dragør Kommune)",48.0,48.4,48.3,48.5
"7194 Greve (Greve Kommune)",41.1,41.3,41.4,41.5
"7195 Hundige-Kildebrønde (Greve Kommune)",41.6,41.8,41.9,42.1
"7196 Reerslev (Høje-Taastrup Kommune)",40.3,40.9,41.3,41.9
"7197 Vindinge (Roskilde Kommune)",39.7,39.3,39.3,39.1
"7198 Snoldelev (Roskilde Kommune)",39.6,40.6,40.7,40.3
"7199 Tune (Greve Kommune)",41.4,41.8,41.7,41.9
"7200 Karlslunde (Greve Kommune)",41.6,42.2,42.4,42.8
"7201 Karlstrup (Solrød Kommune)",40.0,39.4,39.6,39.7
"7202 Havdrup (Solrød Kommune)",40.3,40.5,40.4,40.5
"7203 Solrød (Solrød Kommune)",41.2,41.4,41.7,41.8
"7204 Jersie (Solrød Kommune)",41.5,41.7,41.6,41.8
"7205 Kirke Skensved (Solrød Kommune)",39.0,39.9,39.4,39.7
"7206 Køge (Køge Kommune)",43.5,43.8,43.9,44.3
"7207 Ølsemagle (Køge Kommune)",38.7,38.3,38.3,38.5
"7208 Rorup (Lejre Kommune)",39.9,40.2,40.9,41.9
"7209 Glim (Lejre Kommune)",39.4,40.0,39.8,39.5
"7210 Gadstrup (Roskilde Kommune)",40.2,40.4,40.6,40.4
"7211 Syv (Roskilde Kommune)",43.0,43.1,43.4,43.2
"7212 Ørsted (Roskilde Kommune)",38.0,37.6,37.6,37.8
"7213 Dåstrup (Roskilde Kommune)",39.4,39.9,40.3,40.8
"7214 Borup (Køge Kommune, Ringsted Kommune)",42.1,42.2,42.0,42.4
"7215 Kimmerslev (Køge Kommune)",44.9,45.0,45.5,44.8
"7216 Ejby (Køge Kommune)",40.5,40.3,40.8,41.0
"7217 Nørre Dalby (Køge Kommune)",35.7,36.3,37.2,37.7
"7218 Højelse (Køge Kommune)",39.6,39.9,39.9,40.2
"7219 Ubby (Kalundborg Kommune)",42.6,42.8,42.9,42.6
"7220 Svallerup (Kalundborg Kommune)",45.5,46.6,47.3,47.9
"7221 Store Fuglede (Kalundborg Kommune)",38.3,39.2,39.5,40.1
"7222 Lille Fuglede (Kalundborg Kommune)",37.9,39.0,39.7,40.0
"7223 Sæby (Kalundborg Kommune)",40.3,41.1,42.4,42.4
"7224 Hallenslev (Kalundborg Kommune)",40.9,39.1,39.7,39.5
"7225 Buerup (Kalundborg Kommune)",44.4,44.9,45.6,45.6
"7226 Reerslev (Kalundborg Kommune)",42.0,42.0,42.2,42.4
"7227 Ruds Vedby (Sorø Kommune)",39.7,40.0,40.3,40.3
"7228 Tersløse (Sorø Kommune)",43.2,43.2,43.5,43.8
"7229 Skellebjerg (Sorø Kommune)",42.0,42.2,42.5,42.8
"7230 Niløse (Sorø Kommune)",40.3,41.0,40.5,41.6
"7231 Ørslev (Kalundborg Kommune)",41.8,41.9,40.5,41.4
"7232 Solbjerg (Kalundborg Kommune)",40.4,38.9,40.1,40.4
"7233 Havrebjerg (Slagelse Kommune)",40.1,41.2,41.8,42.8
"7234 Gierslev (Kalundborg Kommune)",39.3,40.1,40.0,40.0
"7235 Finderup (Kalundborg Kommune, Sorø Kommune)",43.0,43.2,43.4,43.9
"7236 Gørlev (Kalundborg Kommune)",44.6,44.4,45.0,45.0
"7237 Bakkendrup (Kalundborg Kommune)",40.8,40.3,40.5,40.6
"7238 Kirke Helsinge (Kalundborg Kommune)",44.1,44.4,45.4,45.3
"7239 Drøsselbjerg (Kalundborg Kommune)",45.9,47.2,47.9,48.7
"7240 Tranebjerg (Samsø Kommune)",50.2,0.0,0.0,0.0
"7241 Besser (Samsø Kommune)",48.4,0.0,0.0,0.0
"7242 Onsbjerg (Samsø Kommune)",47.9,0.0,0.0,0.0
"7243 Kolby (Samsø Kommune)",50.6,0.0,0.0,0.0
"7244 Nordby (Samsø Kommune)",54.2,0.0,0.0,0.0
"7245 Stenlille (Sorø Kommune)",42.7,42.5,42.8,43.2
"7246 Orø (Holbæk Kommune)",52.9,52.1,52.5,52.4
"7247 Føllenslev (Kalundborg Kommune)",46.9,47.7,47.7,48.0
"7248 Særslev (Kalundborg Kommune)",38.9,39.9,39.7,39.8
"7249 Bregninge (Kalundborg Kommune)",47.7,47.9,48.2,48.6
"7250 Bjergsted (Kalundborg Kommune)",43.6,43.7,43.6,44.7
"7251 Viskinge (Kalundborg Kommune)",42.9,43.1,43.6,44.0
"7252 Aunsø (Kalundborg Kommune)",40.9,41.8,42.0,42.1
"7253 Værslev (Kalundborg Kommune)",40.8,41.7,41.4,41.2
"7254 Jorløse (Kalundborg Kommune)",44.5,44.5,44.2,45.8
"7255 Vallekilde (Odsherred Kommune)",39.2,39.9,40.4,40.1
"7256 Hørve (Odsherred Kommune)",40.9,41.1,41.3,41.3
"7257 Sejerø (Kalundborg Kommune)",55.9,58.1,58.5,58.8
"7258 Nykøbing Sj (Odsherred Kommune)",47.9,48.1,48.6,48.9
"7259 Rørvig (Odsherred Kommune)",55.6,55.9,55.9,56.2
"7260 Odden (Odsherred Kommune)",51.7,52.6,52.8,53.2
"7261 Højby (Odsherred Kommune)",49.8,49.9,50.1,50.5
"7262 Vig (Odsherred Kommune)",46.2,46.3,46.4,46.6
"7263 Nørre Asmindrup (Odsherred Kommune)",43.0,43.3,42.9,42.8
"7264 Egebjerg (Odsherred Kommune)",45.4,46.0,46.6,46.6
"7265 Grevinge (Odsherred Kommune)",46.4,46.6,47.3,47.1
"7266 Asnæs (Odsherred Kommune)",47.4,47.8,48.2,48.4
"7267 Fårevejle (Odsherred Kommune)",44.6,44.8,44.9,44.9
"7268 Vor Frue (Kalundborg Kommune)",45.6,45.5,45.4,45.2
"7269 Raklev (Kalundborg Kommune)",43.9,44.5,45.0,45.7
"7270 Røsnæs (Kalundborg Kommune)",48.2,49.1,50.1,50.1
"7271 Tømmerup (Kalundborg Kommune)",39.0,39.2,39.5,39.1
"7272 Årby (Kalundborg Kommune)",40.8,41.3,41.2,41.5
"7273 Rørby (Kalundborg Kommune)",40.2,40.5,40.3,40.6
"7274 Sankt Nikolai (Holbæk Kommune)",42.6,43.1,43.3,43.6
"7275 Tveje Merløse (Holbæk Kommune)",40.8,41.2,41.0,41.0
"7276 Butterup (Holbæk Kommune)",0.0,0.0,0.0,0.0
"7277 Tuse (Holbæk Kommune)",0.0,0.0,0.0,0.0
"7278 Nørre Jernløse (Holbæk Kommune)",39.1,39.5,39.9,39.6
"7279 Kvanløse (Holbæk Kommune)",39.8,40.6,39.7,40.2
"7280 Sønder Jernløse (Holbæk Kommune)",40.3,40.4,40.9,40.4
"7281 Søstrup (Holbæk Kommune)",40.8,40.7,41.2,41.3
"7282 Sønder Asmindrup (Holbæk Kommune)",43.0,47.5,0.0,0.0
"7283 Grandløse (Holbæk Kommune)",0.0,0.0,0.0,0.0
"7284 Tølløse (Holbæk Kommune)",41.4,41.9,42.1,42.5
"7285 Ågerup (Holbæk Kommune)",0.0,0.0,0.0,0.0
"7286 Soderup (Holbæk Kommune)",40.5,41.3,41.8,41.5
"7287 Kirke Eskilstrup (Holbæk Kommune)",40.7,40.9,41.6,41.7
"7288 Store Tåstrup (Holbæk Kommune)",42.2,42.3,43.1,42.7
"7289 Ugerløse (Holbæk Kommune)",40.5,41.2,41.4,41.1
"7290 Undløse (Holbæk Kommune)",40.4,40.6,40.9,40.9
"7291 Søndersted (Holbæk Kommune)",43.6,43.3,43.0,43.0
"7292 Udby (Holbæk Kommune)",48.3,48.6,0.0,0.0
"7293 Hørby (Holbæk Kommune)",44.5,45.8,0.0,0.0
"7294 Hagested (Holbæk Kommune)",39.7,39.6,39.6,40.2
"7295 Gislinge (Holbæk Kommune)",39.4,40.0,40.1,40.2
"7296 Kundby (Holbæk Kommune)",40.5,41.1,41.0,41.4
"7297 Hjembæk (Holbæk Kommune)",0.0,0.0,0.0,0.0
"7298 Svinninge (Holbæk Kommune)",0.0,0.0,0.0,0.0
"7299 Jyderup (Holbæk Kommune)",42.7,42.9,43.5,43.4
"7300 Holmstrup (Holbæk Kommune)",42.0,42.9,43.9,44.9
"7301 Stigs Bjergby (Holbæk Kommune)",39.3,38.9,0.0,0.0
"7302 Mørkøv (Holbæk Kommune)",39.8,40.1,0.0,0.0
"7303 Skamstrup (Holbæk Kommune)",0.0,0.0,0.0,0.0
"7304 Karrebæk (Næstved Kommune)",52.7,53.4,54.0,54.1
"7305 Fodby (Næstved Kommune)",43.4,43.7,44.0,44.5
"7306 Herlufsholm (Næstved Kommune)",41.7,42.0,42.0,42.2
"7307 Gunderslev (Næstved Kommune)",41.3,41.9,42.9,43.1
"7308 Skælskør (Slagelse Kommune)",47.6,48.3,48.6,48.9
"7309 Eggeslevmagle (Slagelse Kommune)",43.8,43.9,44.6,45.2
"7310 Høve (Slagelse Kommune)",40.8,40.4,41.3,42.8
"7311 Flakkebjerg (Slagelse Kommune)",39.8,40.3,40.6,40.9
"7312 Skørpinge (Slagelse Kommune)",39.7,42.4,43.8,43.5
"7313 Fårdrup (Slagelse Kommune)",41.7,40.9,41.2,40.6
"7314 Sørbymagle (Slagelse Kommune)",41.1,41.4,41.8,42.1
"7315 Kirkerup (Slagelse Kommune)",43.9,44.5,43.8,44.6
"7316 Gimlinge (Slagelse Kommune)",40.3,40.7,40.8,41.1
"7317 Hårslev (Næstved Kommune)",38.9,40.0,40.2,40.4
"7318 Ting Jellinge (Næstved Kommune)",39.4,40.3,40.1,41.6
"7319 Hyllested (Slagelse Kommune)",40.2,40.0,40.5,41.0
"7320 Venslev (Slagelse Kommune)",40.8,41.5,42.4,42.1
"7321 Holsteinborg (Slagelse Kommune)",51.7,51.6,51.9,52.0
"7322 Ørslev (Slagelse Kommune)",45.4,47.1,47.2,46.9
"7323 Sønder Bjerge (Slagelse Kommune)",36.3,36.5,37.0,36.5
"7324 Tjæreby (Slagelse Kommune)",39.2,39.2,39.9,39.7
"7325 Magleby (Slagelse Kommune)",40.7,41.4,41.5,41.3
"7326 Agersø (Slagelse Kommune)",57.9,59.8,58.5,58.6
"7327 Omø (Slagelse Kommune)",57.9,58.3,58.1,57.0
"7328 Tystrup (Næstved Kommune)",45.0,45.7,45.1,46.0
"7329 Haldagerlille (Næstved Kommune)",43.0,44.7,45.2,45.0
"7330 Krummerup (Næstved Kommune)",41.6,42.5,42.7,42.2
"7331 Fuglebjerg (Næstved Kommune)",44.2,44.3,44.8,45.0
"7332 Førslev (Næstved Kommune)",38.3,38.2,38.2,38.9
"7333 Vallensved (Næstved Kommune)",42.1,43.2,42.6,42.2
"7334 Marvede (Næstved Kommune)",43.2,43.2,43.5,44.4
"7335 Hyllinge (Næstved Kommune)",38.9,39.5,39.8,40.1
"7336 Kvislemark (Næstved Kommune)",40.4,41.2,40.9,41.2
"7337 Fyrendal (Næstved Kommune)",41.6,42.0,42.0,42.2
"7338 Munke Bjergby (Sorø Kommune)",41.5,41.8,42.6,42.7
"7339 Bromme (Sorø Kommune)",42.9,43.3,43.1,43.2
"7340 Gyrstinge (Ringsted Kommune)",38.4,38.6,39.3,40.0
"7341 Kirke Flinterup (Sorø Kommune)",39.3,39.9,41.3,40.2
"7342 Stenmagle (Sorø Kommune)",40.9,41.3,41.9,42.3
"7343 Bringstrup (Ringsted Kommune)",39.3,40.1,41.0,41.2
"7344 Sigersted (Ringsted Kommune)",39.6,41.1,41.3,41.9
"7345 Sankt Mikkels (Slagelse Kommune)",40.4,40.1,40.2,40.1
"7346 Hejninge (Slagelse Kommune)",41.2,41.5,41.0,40.5
"7347 Sankt Peders (Slagelse Kommune)",40.8,40.9,40.9,41.1
"7348 Sankt Povls (Slagelse Kommune)",46.8,47.3,47.3,47.4
"7349 Tårnborg (Slagelse Kommune)",44.1,44.6,44.6,45.2
"7350 Sønderup (Slagelse Kommune)",37.6,38.7,38.6,39.3
"7351 Nordrupvester (Slagelse Kommune)",41.2,41.0,41.4,41.7
"7352 Gudum (Slagelse Kommune)",40.6,42.3,42.4,43.3
"7353 Sorterup (Slagelse Kommune)",40.6,41.8,41.5,41.8
"7354 Ottestrup (Slagelse Kommune)",38.3,38.4,38.8,38.5
"7355 Slots Bjergby (Slagelse Kommune)",41.1,40.6,40.8,40.7
"7356 Sludstrup (Slagelse Kommune)",37.9,38.9,38.1,39.9
"7357 Lundforlund (Slagelse Kommune)",40.4,40.1,38.9,38.4
"7358 Gerlev (Slagelse Kommune)",43.6,43.9,45.4,45.4
"7359 Kirke Stillinge (Slagelse Kommune)",48.8,49.2,49.7,50.4
"7360 Vemmelev (Slagelse Kommune)",39.9,40.1,40.6,40.5
"7361 Hemmeshøj (Slagelse Kommune)",37.2,37.6,38.5,38.5
"7362 Boeslunde (Slagelse Kommune)",41.8,42.4,42.8,43.4
"7363 Ringsted (Ringsted Kommune)",40.3,40.5,40.8,41.0
"7364 Benløse (Ringsted Kommune)",41.0,41.2,41.0,41.1
"7365 Haraldsted (Ringsted Kommune)",42.0,42.5,42.0,42.4
"7366 Allindemagle (Ringsted Kommune)",42.6,42.5,43.0,43.0
"7367 Jystrup (Ringsted Kommune)",40.6,40.8,41.4,42.0
"7368 Valsølille (Ringsted Kommune)",42.7,42.3,42.7,42.8
"7369 Vigersted (Ringsted Kommune)",40.5,41.4,41.8,41.8
"7370 Kværkeby (Ringsted Kommune)",41.1,40.7,41.2,41.8
"7371 Nordrupøster (Ringsted Kommune)",41.4,42.1,42.6,42.1
"7372 Farendløse (Ringsted Kommune)",37.5,38.3,38.8,39.7
"7373 Vetterslev (Ringsted Kommune)",41.3,42.2,42.6,42.4
"7374 Høm (Ringsted Kommune)",40.2,40.8,40.8,41.0
"7375 Øde Førslev (Faxe Kommune)",39.4,40.4,41.0,40.9
"7376 Sneslev (Ringsted Kommune)",41.1,40.5,40.8,41.3
"7377 Terslev (Faxe Kommune)",41.4,41.7,41.8,41.9
"7378 Ørslev (Ringsted Kommune)",39.3,40.2,40.4,40.6
"7379 Haslev (Faxe Kommune)",42.1,42.3,42.3,42.7
"7380 Freerslev (Faxe Kommune)",42.6,41.9,42.2,43.0
"7381 Teestrup (Faxe Kommune)",40.6,41.0,41.4,42.5
"7382 Bråby (Faxe Kommune)",40.6,40.0,39.8,40.9
"7383 Sorø (Sorø Kommune)",45.2,45.3,45.4,45.7
"7384 Pedersborg (Sorø Kommune)",39.5,40.2,40.8,40.9
"7385 Kindertofte (Slagelse Kommune)",41.9,41.6,42.5,44.9
"7386 Lynge (Sorø Kommune)",41.9,42.1,42.2,42.4
"7387 Vester Broby (Sorø Kommune)",45.1,45.6,45.2,44.3
"7388 Alsted (Sorø Kommune)",42.8,42.5,42.7,43.0
"7389 Fjenneslev (Sorø Kommune)",42.5,42.8,42.7,43.0
"7390 Slaglille (Sorø Kommune)",42.5,42.7,42.8,44.1
"7391 Bjernede (Sorø Kommune)",40.3,41.5,41.7,42.3
"7392 Blistrup (Gribskov Kommune)",46.6,46.9,47.3,47.7
"7393 Vejby (Gribskov Kommune)",45.4,45.9,46.1,46.7
"7394 Tibirke (Gribskov Kommune)",49.4,49.6,50.2,50.7
"7395 Ramløse (Gribskov Kommune)",41.3,41.6,42.2,42.5
"7396 Annisse (Gribskov Kommune)",43.5,43.8,43.6,43.9
"7397 Frederiksværk (Halsnæs Kommune)",43.4,43.5,55.2,54.8
"7398 Vinderød (Halsnæs Kommune)",41.6,42.1,0.0,0.0
"7399 Kregme (Halsnæs Kommune)",42.6,42.9,43.0,43.3
"7400 Ølsted (Halsnæs Kommune)",44.0,44.4,44.7,45.3
"7401 Tjæreby (Hillerød Kommune)",42.1,41.7,41.9,41.7
"7402 Alsønderup (Hillerød Kommune)",39.6,40.1,40.5,40.7
"7403 Skævinge (Hillerød Kommune)",36.9,37.5,37.7,37.8
"7404 Lille Lyngby (Hillerød Kommune)",39.0,39.9,40.1,40.7
"7405 Strø (Hillerød Kommune)",38.5,39.3,40.0,39.9
"7406 Gørløse (Hillerød Kommune)",37.9,38.2,37.7,37.9
"7407 Melby (Halsnæs Kommune)",45.1,45.6,46.3,46.6
"7408 Torup (Halsnæs Kommune)",46.3,46.7,47.1,47.3
"7409 Ølstykke (Egedal Kommune)",39.2,39.6,39.8,40.3
