"Gennemsnitsalder efter køn, kommune og tid"

" "," ","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"I alt"
" ","Hele landet",39.7,39.8,39.9,40.0,40.1,40.2,40.4,40.6,40.7,40.9,41.1,41.2,41.4,41.5,41.7,41.8,42.0
" ","Region Hovedstaden",39.4,39.4,39.5,39.5,39.5,39.5,39.5,39.5,39.6,39.7,39.8,39.8,39.9,40.0,40.1,40.2,40.3
" ","København",37.1,37.1,37.0,36.8,36.6,36.4,36.2,36.1,36.0,35.9,35.9,35.9,35.9,35.9,36.0,36.1,36.2
" ","Frederiksberg",40.8,40.9,40.7,40.5,40.2,39.8,39.6,39.5,39.3,39.3,39.4,39.4,39.5,39.6,39.8,40.0,40.2
" ","Dragør",42.3,42.4,42.6,42.9,42.9,43.0,43.2,43.4,43.5,43.8,43.9,44.0,44.0,44.2,44.4,44.4,44.5
" ","Tårnby",41.6,41.5,41.5,41.4,41.4,41.5,41.4,41.5,41.4,41.5,41.4,41.4,41.4,41.4,41.5,41.6,41.7
" ","Albertslund",36.5,36.9,37.2,37.4,37.6,37.9,38.1,38.3,38.6,38.9,39.1,39.3,39.5,39.8,39.9,40.1,40.5
" ","Ballerup",39.9,40.1,40.2,40.4,40.6,40.7,40.8,41.0,41.2,41.4,41.7,41.9,42.1,42.2,42.2,42.3,42.2
" ","Brøndby",40.1,40.4,40.7,40.9,41.1,41.1,41.2,41.3,41.4,41.3,41.3,41.4,41.4,41.4,41.5,41.7,41.8
" ","Gentofte",41.3,41.4,41.5,41.5,41.4,41.2,41.2,41.2,41.3,41.3,41.4,41.6,41.7,41.9,42.2,42.5,42.8
" ","Gladsaxe",40.1,40.1,40.1,40.0,39.9,39.8,39.7,39.7,39.7,39.7,39.7,39.8,39.7,39.7,39.8,39.9,40.0
" ","Glostrup",40.8,41.0,41.2,41.2,41.2,41.2,41.1,41.1,41.1,41.1,41.1,41.2,41.2,41.2,41.4,41.4,41.3
" ","Herlev",40.3,40.6,40.9,41.0,41.1,41.3,41.3,41.3,41.3,41.0,41.0,41.0,41.1,41.1,41.2,41.2,41.3
" ","Hvidovre",39.7,39.7,39.9,40.0,40.1,40.0,40.0,40.1,40.0,40.1,40.0,40.0,40.0,40.0,40.0,40.1,40.2
" ","Høje-Taastrup",38.2,38.2,38.3,38.4,38.6,38.8,38.9,39.2,39.3,39.5,39.7,39.7,39.9,40.0,40.3,40.4,40.4
" ","Ishøj",36.2,36.4,36.7,37.0,37.3,37.7,37.8,37.9,38.2,38.4,38.5,38.5,38.6,38.8,39.0,39.3,39.4
" ","Lyngby-Taarbæk",42.4,42.3,42.2,42.3,42.2,42.0,41.8,41.7,41.7,41.7,41.7,41.5,41.5,41.6,41.7,41.7,41.7
" ","Rødovre",41.2,41.1,41.3,41.3,41.3,41.3,41.2,41.3,41.2,41.3,41.3,41.2,41.0,40.9,40.8,40.8,40.8
