"Gennemsnitsalder efter sogn og tid"

" ","2007","2008","2009"
"7452 Karlebo (Fredensborg Kommune)",39.1,39.4,39.6
"7453 Gerlev (Frederikssund Kommune)",38.3,38.1,39.0
"7454 Draaby (Frederikssund Kommune)",43.4,43.5,44.0
"7455 Skibby (Frederikssund Kommune)",41.1,41.1,41.4
"7456 Ferslev (Frederikssund Kommune)",40.2,41.2,41.2
"7457 Vellerup (Frederikssund Kommune)",50.4,51.0,52.1
"7458 Skuldelev (Frederikssund Kommune)",40.0,40.5,40.6
"7459 Selsø (Frederikssund Kommune)",43.2,42.8,43.4
"7460 Kyndby (Frederikssund Kommune)",37.7,37.6,38.9
"7461 Krogstrup (Frederikssund Kommune)",40.0,39.9,39.7
"7462 Næsby (Næstved Kommune)",37.7,37.6,38.1
"7463 Tyvelse (Næstved Kommune)",36.1,37.3,35.9
"7464 Sandby (Næstved Kommune)",36.7,36.8,36.4
"7465 Vrangstrup (Næstved Kommune)",37.8,36.8,35.8
"7466 Præstø (Vordingborg Kommune)",41.9,42.0,42.1
"7467 Ullerød (Hillerød Kommune)",36.9,37.4,37.3
"7468 Skibinge (Vordingborg Kommune)",46.7,47.1,47.6
"7469 Vordingborg (Vordingborg Kommune)",43.6,43.9,43.9
"7470 Kastrup (Vordingborg Kommune)",37.9,38.2,38.3
"7471 Jungshoved (Vordingborg Kommune)",45.5,45.2,45.7
"7472 Everdrup (Næstved Kommune)",40.4,41.0,41.0
"7473 Snesere (Næstved Kommune)",38.9,38.7,38.6
"7474 Bårse (Vordingborg Kommune)",43.9,43.0,43.5
"7475 Beldringe (Vordingborg Kommune)",36.1,37.7,38.0
"7476 Allerslev (Vordingborg Kommune)",39.7,40.1,40.5
"7477 Udby (Vordingborg Kommune)",37.7,38.0,38.2
"7478 Ørslev (Vordingborg Kommune)",41.2,41.2,41.6
"7479 Øster Egesborg (Vordingborg Kommune)",35.8,35.9,36.1
"7480 Mern (Vordingborg Kommune)",40.8,40.6,41.1
"7481 Kalvehave (Vordingborg Kommune)",45.4,45.7,45.7
"7483 Stege (Vordingborg Kommune)",47.0,47.7,47.7
"7485 Nyord (Vordingborg Kommune)",61.8,59.8,60.4
"7486 Keldby (Vordingborg Kommune)",42.1,42.2,43.1
"7487 Elmelunde (Vordingborg Kommune)",43.7,44.1,45.3
"7488 Borre (Vordingborg Kommune)",43.8,44.2,44.4
"7489 Magleby (Vordingborg Kommune)",48.8,49.6,49.6
"7490 Damsholte (Vordingborg Kommune)",42.2,41.7,41.7
"7491 Fanefjord (Vordingborg Kommune)",43.9,43.8,44.3
"7492 Lellinge (Køge Kommune)",40.2,40.0,39.7
"7493 Lille Heddinge (Stevns Kommune)",46.2,46.6,46.8
"7494 Havnelev (Stevns Kommune)",47.8,47.3,47.7
"7495 Magleby Stevns (Stevns Kommune)",41.1,41.0,40.6
"7496 Holtug (Stevns Kommune)",39.4,39.3,39.8
"7497 Strøby (Stevns Kommune)",43.4,43.7,43.7
"7498 Varpelev (Stevns Kommune)",37.9,38.0,39.1
"7499 Toksværd (Næstved Kommune)",39.3,38.7,38.8
"7500 Rønnebæk (Næstved Kommune)",38.8,39.0,39.3
"7501 Holme Olstrup (Næstved Kommune)",39.5,39.6,40.0
"7502 Næstelsø (Næstved Kommune)",40.5,40.7,41.6
"7503 Mogenstrup (Næstved Kommune)",41.3,40.7,40.1
"7504 Vejlø (Næstved Kommune)",42.3,43.2,43.5
"7505 Vester Egesborg (Næstved Kommune)",38.7,38.3,38.9
"7506 Hammer (Næstved Kommune)",38.9,39.0,38.7
"7507 Lundby (Vordingborg Kommune)",37.8,37.7,37.7
"7508 Køng (Vordingborg Kommune)",39.7,39.8,39.8
"7509 Sværdborg (Vordingborg Kommune)",38.1,38.7,39.3
"7510 Sankt Peders (Næstved Kommune)",41.3,40.9,40.8
"7511 Sankt Mortens (Næstved Kommune)",41.1,41.3,41.4
"7512 Vester Egede (Faxe Kommune)",43.2,43.5,42.8
"7513 Aversi (Næstved Kommune)",40.4,41.2,40.8
"7514 Tybjerg (Næstved Kommune)",37.1,37.0,36.9
"7515 Herlufmagle (Næstved Kommune)",40.0,40.3,40.4
"7516 Fensmark (Næstved Kommune)",39.7,39.8,39.9
"7517 Rislev (Næstved Kommune)",39.9,38.7,39.0
"7518 Skelby (Næstved Kommune)",37.0,37.0,37.6
"7519 Glumsø (Næstved Kommune)",41.3,41.6,41.6
"7520 Bavelse (Næstved Kommune)",41.4,43.3,41.4
"7521 Bogø (Vordingborg Kommune)",45.7,45.5,45.7
"7522 Faxe (Faxe Kommune)",42.8,42.7,42.6
"7523 Hylleholt (Faxe Kommune)",43.1,43.3,43.8
"7524 Spjellerup (Faxe Kommune)",38.3,39.7,39.3
"7525 Smerup (Faxe Kommune)",38.9,39.1,40.2
"7526 Hellested (Stevns Kommune)",38.9,39.2,39.6
"7527 Vemmetofte (Faxe Kommune)",45.4,47.0,46.2
"7528 Karise (Faxe Kommune)",41.8,42.2,42.7
"7529 Alslev (Faxe Kommune)",36.2,37.1,37.2
"7530 Sønder Dalby (Faxe Kommune)",37.7,37.8,38.4
"7531 Tureby (Faxe Kommune)",40.1,38.5,40.1
"7532 Ulse (Faxe Kommune)",40.3,39.9,41.3
"7533 Øster Egede (Faxe Kommune)",39.1,39.5,40.5
"7534 Kongsted (Faxe Kommune)",41.0,41.2,41.5
"7535 Roholte (Faxe Kommune)",43.2,42.9,43.3
"7536 Lidemark (Køge Kommune)",37.7,39.3,39.6
"7537 Bjæverskov (Køge Kommune)",37.4,37.5,37.9
"7538 Vollerslev (Køge Kommune)",41.1,41.7,42.2
"7539 Gørslev (Køge Kommune)",38.5,38.4,38.8
"7540 Herfølge (Køge Kommune)",38.3,38.3,38.4
"7541 Sædder (Køge Kommune, Faxe Kommune)",36.4,37.0,37.1
"7542 Valløby (Stevns Kommune)",40.8,40.8,40.7
"7543 Tårnby (Stevns Kommune)",39.4,39.4,40.0
"7544 Hårlev (Faxe Kommune, Stevns Kommune)",42.4,42.5,42.8
"7545 Himlingøje (Stevns Kommune)",36.3,36.7,37.1
"7546 Endeslev (Stevns Kommune)",38.8,39.3,40.1
"7547 Vråby (Stevns Kommune)",37.6,37.7,38.0
"7548 Store Heddinge (Stevns Kommune)",41.8,42.2,42.3
"7549 Højerup (Stevns Kommune)",39.5,41.0,42.2
"7550 Lyderslev (Stevns Kommune)",38.6,38.5,39.4
"7551 Frøslev (Stevns Kommune)",38.2,39.6,40.7
"7552 Rønne (Bornholm Kommune)",44.6,44.7,45.0
"7553 Knudsker (Bornholm Kommune)",40.5,40.4,40.5
"7554 Vestermarie (Bornholm Kommune)",39.8,39.7,39.7
"7555 Nylarsker (Bornholm Kommune)",44.8,45.5,45.4
"7556 Nyker (Bornholm Kommune)",41.4,41.2,41.5
"7557 Hasle (Bornholm Kommune)",45.6,46.4,46.6
"7558 Rutsker (Bornholm Kommune)",45.0,46.2,45.6
"7559 Olsker (Bornholm Kommune)",45.2,46.5,46.4
"7560 Allinge-Sandvig (Bornholm Kommune)",48.2,48.4,48.8
"7561 Klemensker (Bornholm Kommune)",41.3,41.5,41.5
"7562 Rø (Bornholm Kommune)",44.3,45.1,45.3
"7563 Ibsker (Bornholm Kommune)",46.6,46.5,46.8
"7564 Svaneke (Bornholm Kommune)",47.6,48.4,49.7
"7565 Østerlarsker (Bornholm Kommune)",42.1,42.2,42.7
"7566 Gudhjem (Bornholm Kommune)",51.4,51.9,52.4
"7567 Østermarie (Bornholm Kommune)",42.8,43.6,43.4
"7568 Christiansø (Christiansø Kommune)",45.5,43.1,42.4
"7569 Aaker (Bornholm Kommune)",43.8,44.5,44.8
"7570 Bodilsker (Bornholm Kommune)",42.6,42.6,42.4
"7571 Nexø (Bornholm Kommune)",44.0,44.2,44.7
"7572 Poulsker (Bornholm Kommune)",44.4,45.1,45.9
"7573 Pedersker (Bornholm Kommune)",42.4,42.7,43.0
"7575 Ønslev (Guldborgsund Kommune)",40.7,40.8,41.1
"7576 Eskilstrup (Guldborgsund Kommune)",42.4,42.6,42.3
"7577 Tingsted (Guldborgsund Kommune)",38.3,38.0,37.4
"7578 Nykøbing F (Guldborgsund Kommune)",42.7,42.7,43.1
"7579 Idestrup (Guldborgsund Kommune)",43.3,43.5,44.0
"7580 Væggerløse (Guldborgsund Kommune)",48.9,49.3,49.4
"7581 Skelby (Guldborgsund Kommune)",45.3,45.2,45.7
"7582 Gedesby (Guldborgsund Kommune)",50.2,50.7,50.8
"7583 Sønder Kirkeby (Guldborgsund Kommune)",36.9,37.1,38.3
"7584 Sønder Alslev (Guldborgsund Kommune)",44.6,47.8,49.8
"7585 Karleby (Guldborgsund Kommune)",42.4,42.2,42.4
"7586 Horreby (Guldborgsund Kommune)",42.0,41.8,41.5
"7587 Nørre Ørslev (Guldborgsund Kommune)",37.8,37.4,37.1
"7588 Systofte (Guldborgsund Kommune)",40.9,41.5,41.7
"7589 Horbelev (Guldborgsund Kommune)",43.5,43.6,43.0
"7590 Falkerslev (Guldborgsund Kommune)",39.3,40.1,39.9
"7591 Aastrup (Guldborgsund Kommune)",43.3,43.4,44.4
"7592 Tårs (Guldborgsund Kommune)",39.2,38.5,37.4
"7593 Vigsnæs (Guldborgsund Kommune)",41.2,41.5,41.7
"7594 Majbølle (Guldborgsund Kommune)",45.8,45.1,45.6
"7595 Radsted (Guldborgsund Kommune)",39.6,39.9,40.2
"7596 Toreby (Guldborgsund Kommune)",43.3,43.7,44.0
"7597 Slemminge (Guldborgsund Kommune)",43.5,43.5,45.2
"7598 Fjelde (Guldborgsund Kommune)",40.1,41.6,41.3
"7599 Døllefjelde (Guldborgsund Kommune)",41.0,42.1,42.6
"7600 Musse (Guldborgsund Kommune)",43.9,44.6,44.7
"7601 Herritslev (Guldborgsund Kommune)",48.2,49.2,48.0
"7602 Øster Ulslev (Guldborgsund Kommune)",41.7,41.6,41.9
"7603 Vester Ulslev (Guldborgsund Kommune)",44.8,44.5,44.8
"7604 Godsted (Guldborgsund Kommune)",44.7,44.9,44.4
"7605 Kettinge (Guldborgsund Kommune)",41.6,41.2,41.9
"7606 Bregninge (Guldborgsund Kommune)",37.4,36.9,38.3
"7607 Stubbekøbing (Guldborgsund Kommune)",49.3,49.9,49.8
"7608 Maglebrænde (Guldborgsund Kommune)",43.7,42.4,41.7
"7609 Torkilstrup (Guldborgsund Kommune)",40.5,40.0,40.1
"7610 Lillebrænde (Guldborgsund Kommune)",41.6,40.9,41.8
"7611 Gundslev (Guldborgsund Kommune)",42.3,41.8,42.8
"7612 Nørre Vedby (Guldborgsund Kommune)",42.3,42.5,42.7
"7613 Nørre Alslev (Guldborgsund Kommune)",46.5,46.0,46.5
"7614 Nørre Kirkeby (Guldborgsund Kommune)",41.3,40.7,41.2
"7615 Vålse (Guldborgsund Kommune)",41.3,41.3,41.4
"7616 Kippinge (Guldborgsund Kommune)",39.2,39.6,38.9
"7617 Stadager (Guldborgsund Kommune)",40.8,41.7,40.4
"7618 Brarup (Guldborgsund Kommune)",43.0,42.8,43.7
"7619 Købelev (Lolland Kommune)",44.6,45.5,46.6
"7620 Vindeby (Lolland Kommune)",45.8,46.3,44.7
"7621 Utterslev (Lolland Kommune)",43.8,45.2,46.0
"7622 Horslunde (Lolland Kommune)",45.2,44.5,45.1
"7623 Nordlunde (Lolland Kommune)",39.9,39.0,38.8
"7624 Herredskirke (Lolland Kommune)",42.6,43.3,43.3
"7625 Løjtofte (Lolland Kommune)",38.5,39.2,41.1
"7626 Halsted (Lolland Kommune)",38.0,38.7,38.9
"7627 Avnede (Lolland Kommune)",43.5,43.2,42.8
"7628 Vestenskov (Lolland Kommune)",46.0,45.9,46.4
"7629 Kappel (Lolland Kommune)",48.0,48.2,48.9
"7630 Dannemare (Lolland Kommune)",48.1,47.7,48.0
"7631 Tillitse (Lolland Kommune)",44.1,44.5,44.4
"7632 Gloslunde (Lolland Kommune)",45.9,46.1,46.5
"7633 Græshave (Lolland Kommune)",43.2,43.3,43.1
"7634 Landet (Lolland Kommune)",45.0,44.4,44.3
"7635 Ryde (Lolland Kommune)",42.2,41.7,40.8
"7636 Søllested (Lolland Kommune)",46.2,45.5,46.3
"7637 Skovlænge (Lolland Kommune)",35.4,35.3,35.7
"7638 Gurreby (Lolland Kommune)",40.6,41.1,40.7
"7639 Stokkemarke (Lolland Kommune)",43.4,44.5,44.8
"7640 Vesterborg (Lolland Kommune)",44.9,46.4,45.0
"7641 Birket (Lolland Kommune)",49.2,49.5,50.2
"7642 Sakskøbing (Guldborgsund Kommune)",46.3,46.7,46.9
"7643 Nysted (Guldborgsund Kommune)",51.3,51.5,51.3
"7644 Våbensted (Guldborgsund Kommune)",37.5,37.4,38.1
"7645 Engestofte (Guldborgsund Kommune)",42.9,44.2,43.7
"7646 Hunseby (Lolland Kommune)",39.7,40.4,40.5
"7647 Vantore (Guldborgsund Kommune)",40.7,40.3,40.6
"7648 Maribo Domsogn (Lolland Kommune)",47.3,46.8,47.0
"7649 Hillested (Lolland Kommune)",41.3,42.6,42.3
"7650 Skørringe (Lolland Kommune)",45.1,45.5,45.4
"7651 Rødby (Lolland Kommune)",46.9,47.6,47.1
"7652 Ringsebølle (Lolland Kommune)",38.3,39.4,39.7
"7653 Tågerup (Lolland Kommune)",44.4,43.3,43.7
"7654 Torslunde (Lolland Kommune)",44.1,43.3,44.3
"7655 Errindlev (Lolland Kommune)",45.4,46.1,46.7
"7656 Olstrup (Lolland Kommune)",47.4,45.9,46.7
"7657 Fuglse (Lolland Kommune)",42.9,43.4,43.9
"7658 Krønge (Lolland Kommune)",44.5,42.9,42.7
"7659 Holeby (Lolland Kommune)",45.9,45.9,46.3
"7660 Bursø (Lolland Kommune)",45.6,45.8,45.6
"7661 Nebbelunde (Lolland Kommune)",40.8,41.9,42.5
"7662 Sædinge (Lolland Kommune)",44.2,45.1,44.2
"7663 Tirsted (Lolland Kommune)",41.0,41.7,42.3
"7664 Vejleby (Lolland Kommune)",37.7,38.0,37.7
"7665 Østofte (Lolland Kommune)",41.6,41.6,41.7
"7666 Bandholm (Lolland Kommune)",47.2,47.7,47.3
"7667 Fejø (Lolland Kommune)",52.3,52.2,50.8
"7668 Femø (Lolland Kommune)",60.2,60.0,61.0
"7669 Askø (Lolland Kommune)",60.3,59.8,62.9
"7670 Sankt Nikolai (Lolland Kommune)",45.0,45.2,45.3
"7671 Branderslev (Lolland Kommune)",41.3,41.1,40.9
"7672 Stormarks (Lolland Kommune)",42.7,42.6,43.2
"7673 Arninge (Lolland Kommune)",40.1,40.9,43.6
"7674 Sandby (Lolland Kommune)",45.6,46.1,46.6
"7675 Vor Frue (Svendborg Kommune)",38.8,38.9,38.8
"7676 Sankt Nikolaj (Svendborg Kommune)",37.5,38.6,38.9
"7677 Sankt Jørgens (Svendborg Kommune)",43.7,44.0,44.4
"7678 Sørup (Svendborg Kommune)",40.5,40.4,40.5
"7679 Skårup (Svendborg Kommune)",39.3,39.5,39.3
"7680 Tved (Svendborg Kommune)",42.9,43.0,43.4
"7681 Egense (Svendborg Kommune)",41.6,42.1,42.9
"7682 Øster Skerninge (Svendborg Kommune)",44.5,43.2,43.6
"7683 Hundstrup (Svendborg Kommune)",37.9,37.6,38.4
"7684 Ollerup (Svendborg Kommune)",39.1,38.8,37.9
"7685 Kirkeby (Svendborg Kommune)",38.9,38.7,39.1
"7686 Stenstrup (Svendborg Kommune)",42.7,42.2,42.0
"7687 Lunde (Svendborg Kommune)",38.0,38.4,38.6
"7688 Kværndrup (Faaborg-Midtfyn Kommune)",41.1,41.0,41.1
"7689 Thurø (Svendborg Kommune)",43.6,43.8,44.0
"7690 Bregninge (Svendborg Kommune)",45.4,45.4,45.9
"7691 Landet (Svendborg Kommune)",42.4,42.8,42.9
"7692 Bjerreby (Svendborg Kommune)",40.7,40.3,39.6
"7693 Drejø (Svendborg Kommune)",56.3,55.8,56.4
"7694 Strynø (Langeland Kommune)",44.5,45.2,44.5
"7695 Fåborg (Faaborg-Midtfyn Kommune)",46.5,46.9,47.3
"7696 Diernæs (Faaborg-Midtfyn Kommune)",43.6,43.6,43.9
"7697 Vester Åby (Faaborg-Midtfyn Kommune)",43.9,44.0,44.3
"7698 Åstrup (Faaborg-Midtfyn Kommune)",45.2,44.3,44.0
"7699 Vester Skerninge (Svendborg Kommune)",40.8,41.4,41.8
"7700 Ulbølle (Svendborg Kommune)",40.6,40.5,40.6
"7701 Heden (Faaborg-Midtfyn Kommune)",41.1,40.6,40.9
"7702 Bøstrup (Langeland Kommune)",48.4,49.0,48.9
"7703 Snøde (Langeland Kommune)",48.5,48.9,48.9
"7704 Stoense (Langeland Kommune)",44.4,45.1,45.9
"7705 Hou (Langeland Kommune)",54.5,55.3,57.2
"7706 Longelse (Langeland Kommune)",45.0,45.6,44.8
"7707 Fuglsbølle (Langeland Kommune)",45.3,46.6,47.1
"7708 Lindelse (Langeland Kommune)",47.5,48.4,48.9
"7709 Humble (Langeland Kommune)",47.6,47.8,48.5
"7710 Tryggelev (Langeland Kommune)",41.0,41.3,41.4
"7711 Fodslette (Langeland Kommune)",49.9,51.2,47.9
"7712 Magleby (Langeland Kommune)",48.6,49.3,50.2
"7713 Ærøskøbing (Ærø Kommune)",55.2,54.5,55.3
"7714 Marstal (Ærø Kommune)",47.6,48.4,48.3
"7715 Rise (Ærø Kommune)",45.9,45.8,46.0
"7716 Tranderup (Ærø Kommune)",45.6,45.4,44.9
"7717 Bregninge (Ærø Kommune)",44.6,45.4,45.6
"7718 Søby (Ærø Kommune)",50.5,50.5,50.6
"7719 Oure (Svendborg Kommune)",42.1,41.9,42.6
"7720 Vejstrup (Svendborg Kommune)",36.2,37.0,37.2
"7721 Gudme (Svendborg Kommune)",39.1,38.4,39.0
"7722 Brudager (Svendborg Kommune)",38.4,37.5,37.8
"7723 Gudbjerg (Svendborg Kommune)",39.1,38.9,38.7
"7724 Nyborg (Nyborg Kommune)",44.0,44.1,44.3
"7725 Aunslev (Nyborg Kommune)",41.0,40.5,40.9
"7726 Bovense (Nyborg Kommune)",40.4,40.8,40.6
"7727 Flødstrup (Nyborg Kommune)",36.8,37.6,37.7
"7728 Ullerslev (Nyborg Kommune)",40.9,40.7,40.7
"7729 Skellerup (Nyborg Kommune)",37.3,37.4,37.7
"7730 Ellinge (Nyborg Kommune)",38.8,38.6,39.7
"7731 Kullerup (Nyborg Kommune)",34.8,34.3,35.1
"7732 Refsvindinge (Nyborg Kommune)",36.3,36.7,36.4
"7733 Vindinge (Nyborg Kommune)",40.1,40.1,40.4
"7734 Frørup (Nyborg Kommune)",39.1,38.8,39.2
"7735 Ørbæk (Nyborg Kommune)",47.0,46.9,46.6
"7736 Herrested (Nyborg Kommune)",39.0,39.4,39.6
"7737 Søllinge (Faaborg-Midtfyn Kommune)",40.8,40.5,40.8
"7738 Hellerup (Faaborg-Midtfyn Kommune)",36.6,37.4,37.4
"7739 Sønder Højrup (Faaborg-Midtfyn Kommune)",36.1,36.2,35.6
"7740 Årslev (Faaborg-Midtfyn Kommune)",37.9,37.9,38.3
"7741 Rudkøbing (Langeland Kommune)",47.0,47.1,47.5
"7742 Simmerbølle (Langeland Kommune)",41.1,41.8,42.3
"7743 Skrøbelev (Langeland Kommune)",40.3,40.5,40.9
"7744 Tranekær (Langeland Kommune)",49.8,52.4,54.3
"7745 Tullebølle (Langeland Kommune)",47.9,48.4,49.2
"7746 Brahetrolleborg (Faaborg-Midtfyn Kommune)",40.7,41.5,41.2
"7747 Krarup (Faaborg-Midtfyn Kommune)",40.4,40.6,40.2
"7748 Herringe (Faaborg-Midtfyn Kommune)",38.2,38.4,38.7
"7749 Gestelev (Faaborg-Midtfyn Kommune)",37.5,37.7,37.2
"7750 Espe (Faaborg-Midtfyn Kommune)",39.4,39.1,38.5
"7751 Vantinge (Faaborg-Midtfyn Kommune)",36.5,36.2,36.2
"7752 Allested (Faaborg-Midtfyn Kommune)",41.1,41.7,41.9
"7753 Vejle (Faaborg-Midtfyn Kommune)",40.5,40.4,40.2
"7754 Nørre Broby (Faaborg-Midtfyn Kommune)",41.0,41.5,41.6
"7755 Sønder Broby (Faaborg-Midtfyn Kommune)",43.2,43.4,43.2
"7756 Hillerslev (Faaborg-Midtfyn Kommune)",39.5,38.9,39.5
"7757 Øster Hæsinge (Faaborg-Midtfyn Kommune)",41.6,42.2,42.9
"7758 Vester Hæsinge (Faaborg-Midtfyn Kommune)",41.8,42.4,42.6
"7759 Sandholts Lyndelse (Faaborg-Midtfyn Kommune)",39.6,39.1,39.1
"7760 Jordløse (Assens Kommune)",39.4,39.0,39.6
"7761 Håstrup (Faaborg-Midtfyn Kommune)",41.0,41.7,41.5
"7762 Svanninge (Faaborg-Midtfyn Kommune)",43.2,43.5,43.7
"7763 Horne (Faaborg-Midtfyn Kommune)",43.7,43.9,44.4
"7764 Lyø (Faaborg-Midtfyn Kommune)",51.1,52.1,53.8
"7765 Avernakø (Faaborg-Midtfyn Kommune)",51.2,51.3,50.6
"7766 Ringe (Faaborg-Midtfyn Kommune)",42.3,42.5,42.6
"7767 Ryslinge (Faaborg-Midtfyn Kommune)",41.1,41.1,41.4
"7768 Gislev (Faaborg-Midtfyn Kommune)",40.9,40.6,41.3
"7769 Ellested (Nyborg Kommune)",35.4,35.4,35.4
"7770 Langå (Nyborg Kommune)",38.6,39.9,40.5
"7771 Øksendrup (Nyborg Kommune)",38.9,39.6,39.5
"7772 Hesselager (Svendborg Kommune)",43.1,43.1,43.3
"7773 Svindinge (Nyborg Kommune)",40.4,40.2,39.9
"7774 Sankt Knuds (Odense Kommune)",37.0,36.9,37.0
"7775 Ansgars (Odense Kommune)",37.1,37.5,37.7
"7776 Bolbro (Odense Kommune)",40.8,40.6,40.1
"7777 Thomas Kingos (Odense Kommune)",39.3,39.6,39.9
"7778 Munkebjerg (Odense Kommune)",40.9,40.6,40.5
"7779 Vor Frue (Odense Kommune)",35.5,35.3,35.2
"7780 Korsløkke (Odense Kommune)",38.4,38.2,38.6
"7781 Sankt Hans (Odense Kommune)",35.3,35.7,35.9
"7782 Fredens (Odense Kommune)",37.9,37.9,37.7
"7783 Hans Tausens (Odense Kommune)",35.6,35.7,35.5
"7784 Paarup (Odense Kommune)",44.0,44.0,44.0
"7785 Korup (Odense Kommune)",41.1,41.5,41.8
"7786 Ubberud (Odense Kommune)",38.4,38.1,38.8
"7787 Dalum (Odense Kommune)",38.4,38.3,38.1
"7788 Sanderum (Odense Kommune)",42.8,44.0,44.1
"7789 Brændekilde (Odense Kommune)",38.4,37.8,38.7
"7790 Bellinge (Odense Kommune)",41.0,41.3,41.7
"7791 Stenløse (Odense Kommune)",41.0,41.1,41.2
"7792 Fangel (Odense Kommune)",40.8,41.0,40.2
"7793 Verninge (Assens Kommune)",40.8,40.4,40.7
"7794 Tommerup (Assens Kommune)",38.4,38.4,38.6
"7795 Brylle (Assens Kommune)",38.5,38.9,39.2
"7796 Vissenbjerg (Assens Kommune)",39.6,40.0,40.3
"7797 Kerteminde (Kerteminde Kommune)",47.4,48.2,48.8
"7798 Munkebo (Kerteminde Kommune)",41.2,41.8,42.0
"7799 Drigstrup (Kerteminde Kommune)",42.1,42.7,43.3
"7800 Kølstrup (Kerteminde Kommune)",38.6,38.1,38.2
"7801 Assens (Assens Kommune)",45.1,45.5,46.0
"7802 Bågø (Assens Kommune)",58.3,55.4,58.1
"7803 Kærum (Assens Kommune)",39.8,40.1,40.5
"7804 Gamtofte (Assens Kommune)",39.7,40.2,40.1
"7805 Søby (Assens Kommune)",36.0,35.0,35.8
"7806 Turup (Assens Kommune)",39.9,39.7,39.6
"7807 Barløse (Assens Kommune)",35.5,35.3,36.2
"7808 Sandager (Assens Kommune)",41.6,42.3,43.6
"7809 Holevad (Assens Kommune)",35.4,36.6,36.5
"7810 Tanderup (Middelfart Kommune)",38.0,38.8,39.0
"7811 Kerte (Assens Kommune)",35.2,36.4,37.4
"7812 Skydebjerg (Assens Kommune)",33.7,32.9,33.2
"7813 Ørsted (Assens Kommune)",38.6,39.3,39.9
"7814 Orte (Assens Kommune)",38.6,39.4,39.0
"7815 Søllested (Assens Kommune)",40.2,38.9,39.1
"7816 Vedtofte (Assens Kommune)",36.5,37.5,37.7
"7817 Glamsbjerg (Assens Kommune)",41.1,41.1,41.0
"7818 Flemløse (Assens Kommune)",39.7,39.4,40.0
"7819 Hårby (Assens Kommune)",43.5,43.9,44.1
"7820 Dreslette (Assens Kommune)",41.0,41.4,41.2
"7821 Sønderby (Assens Kommune)",41.4,41.2,40.7
"7822 Helnæs (Assens Kommune)",45.1,46.3,47.3
"7823 Middelfart (Middelfart Kommune)",42.6,42.8,43.0
"7824 Kauslunde (Middelfart Kommune)",36.3,36.0,35.4
"7825 Vejlby (Middelfart Kommune)",40.5,40.4,41.0
"7826 Strib (Middelfart Kommune)",41.1,41.2,42.0
"7827 Asperup (Middelfart Kommune)",40.0,39.1,39.1
"7828 Roerslev (Middelfart Kommune)",41.0,39.3,39.6
"7829 Brenderup (Middelfart Kommune)",40.9,40.6,40.2
"7830 Fjelsted (Middelfart Kommune)",37.6,38.3,38.0
"7831 Harndrup (Middelfart Kommune)",39.3,39.2,39.3
"7832 Gelsted (Middelfart Kommune)",40.8,41.2,41.1
"7833 Rørup (Assens Kommune)",39.9,40.1,39.6
"7834 Balslev (Middelfart Kommune)",37.6,37.3,37.8
"7835 Ejby (Middelfart Kommune)",43.9,43.9,43.8
"7836 Nørre Aaby (Middelfart Kommune)",40.8,40.7,40.9
"7837 Indslev (Middelfart Kommune)",39.7,40.3,40.8
"7838 Gamborg (Middelfart Kommune)",37.6,38.3,38.9
"7839 Udby (Middelfart Kommune)",35.4,36.3,36.9
"7840 Føns (Middelfart Kommune)",42.5,43.7,43.8
"7841 Ørslev (Middelfart Kommune)",40.3,40.0,40.7
"7842 Husby (Middelfart Kommune)",41.4,40.6,41.3
"7843 Lunde (Nordfyns Kommune)",39.1,39.0,39.1
"7844 Lumby (Odense Kommune)",40.5,40.5,40.7
"7845 Allesø (Odense Kommune)",41.8,42.0,42.0
"7846 Næsbyhoved-Broby (Odense Kommune)",38.7,39.3,39.2
"7847 Næsby (Odense Kommune)",42.3,42.3,42.4
"7848 Krogsbølle (Nordfyns Kommune)",40.0,40.1,40.1
"7849 Nørre Næraa (Nordfyns Kommune)",38.1,36.8,36.3
"7850 Bederslev (Nordfyns Kommune)",40.0,40.1,41.2
"7851 Klinte (Nordfyns Kommune)",40.6,39.8,40.2
"7852 Grindløse (Nordfyns Kommune)",36.0,35.3,36.5
"7853 Uggerslev (Nordfyns Kommune)",38.0,38.2,37.8
"7854 Nørre Højrup (Nordfyns Kommune)",36.1,38.4,38.2
"7855 Skamby (Nordfyns Kommune)",37.6,36.9,36.1
"7856 Bogense (Nordfyns Kommune)",45.4,45.7,46.3
"7857 Skovby (Nordfyns Kommune)",39.5,39.4,39.0
"7858 Ore (Nordfyns Kommune)",38.6,38.9,39.0
"7859 Guldbjerg (Nordfyns Kommune)",42.8,43.8,44.1
"7860 Nørre Sandager (Nordfyns Kommune)",37.0,38.5,37.5
"7861 Ejlby (Nordfyns Kommune)",38.1,39.1,38.9
"7862 Melby (Nordfyns Kommune)",39.4,39.1,39.5
"7863 Særslev (Nordfyns Kommune)",40.8,41.0,40.5
"7864 Hårslev (Nordfyns Kommune)",37.4,37.5,37.5
"7865 Vigerslev (Nordfyns Kommune)",39.1,39.0,39.0
"7866 Veflinge (Nordfyns Kommune)",38.8,38.4,38.8
"7867 Søndersø (Nordfyns Kommune)",41.5,41.5,41.5
"7868 Agedrup (Odense Kommune)",39.9,39.7,39.9
"7869 Marslev (Kerteminde Kommune)",37.1,37.1,36.6
"7870 Birkende (Kerteminde Kommune)",38.2,38.2,38.9
