"Gennemsnitsalder efter sogn og tid"

" ","2007","2008","2009"
"7135 Herlev (Herlev Kommune)",47.4,47.2,46.7
"7136 Præstebro (Herlev Kommune)",39.6,39.7,39.4
"7137 Rødovre (Rødovre Kommune)",40.5,40.4,40.3
"7138 Grøndalslund (Rødovre Kommune)",41.6,41.5,41.6
"7139 Islev (Rødovre Kommune)",41.7,41.7,41.9
"7140 Hendriksholm (Rødovre Kommune)",41.8,41.9,41.6
"7141 Hvidovre (Hvidovre Kommune)",40.4,40.5,40.1
"7142 Strandmarks (Hvidovre Kommune)",41.5,41.5,41.6
"7143 Risbjerg (Hvidovre Kommune)",41.5,41.4,41.5
"7144 Brøndbyvester (Brøndby Kommune)",43.0,43.2,43.3
"7145 Brøndbyøster (Brøndby Kommune)",42.9,43.0,43.4
"7146 Avedøre (Hvidovre Kommune)",36.9,37.3,37.6
"7147 Glostrup (Glostrup Kommune)",41.2,41.2,41.2
"7148 Herstedøster (Albertslund Kommune)",36.2,36.6,36.9
"7149 Vallensbæk (Vallensbæk Kommune)",40.6,40.5,39.7
"7150 Torslunde (Ishøj Kommune)",39.7,39.7,40.1
"7151 Ishøj (Ishøj Kommune)",36.6,36.9,37.2
"7152 Høje Tåstrup (Høje-Taastrup Kommune)",35.5,35.5,35.4
"7153 Tåstrup Nykirke (Høje-Taastrup Kommune)",39.0,39.2,39.4
"7154 Værløse (Furesø Kommune)",41.1,41.4,41.7
"7155 Herstedvester (Albertslund Kommune)",37.6,37.5,37.4
"7156 Roskilde Domsogn (Roskilde Kommune)",41.2,41.4,41.6
"7157 Roskilde Søndre (Roskilde Kommune)",39.7,40.2,39.9
"7158 Vor Frue (Roskilde Kommune)",39.0,39.2,39.4
"7159 Sankt Jørgensbjerg (Roskilde Kommune)",41.0,41.1,41.4
"7160 Himmelev (Roskilde Kommune)",37.5,37.5,37.5
"7161 Hvedstrup (Roskilde Kommune)",37.4,37.0,37.1
"7162 Fløng (Høje-Taastrup Kommune)",38.1,38.1,38.5
"7163 Herslev (Lejre Kommune)",41.9,41.8,42.1
"7164 Gevninge (Lejre Kommune)",43.4,42.5,42.1
"7165 Kornerup (Lejre Kommune)",43.0,44.4,43.7
"7166 Svogerslev (Roskilde Kommune)",40.8,41.2,41.4
"7167 Ågerup (Roskilde Kommune)",41.3,41.6,42.1
"7168 Kirkerup (Roskilde Kommune)",37.9,38.2,38.5
"7169 Jyllinge (Roskilde Kommune)",38.0,38.4,38.7
"7170 Gundsømagle (Roskilde Kommune)",39.3,39.5,39.8
"7171 Osted (Lejre Kommune)",40.7,39.8,39.6
"7172 Allerslev (Lejre Kommune)",41.0,42.2,42.4
"7173 Kirke Hvalsø (Lejre Kommune)",39.3,39.5,39.7
"7174 Særløse (Lejre Kommune)",38.4,38.3,39.6
"7175 Kirke Saaby (Lejre Kommune)",38.0,38.3,38.7
"7176 Kisserup (Lejre Kommune)",41.7,42.2,41.9
"7177 Rye (Lejre Kommune)",40.6,41.0,41.8
"7178 Kirke Sonnerup (Lejre Kommune)",38.4,38.6,38.5
"7179 Kirke Hyllinge (Lejre Kommune)",41.0,40.8,40.9
"7180 Lyndby (Lejre Kommune)",41.5,41.0,41.5
"7181 Sæby (Lejre Kommune)",42.6,42.9,43.8
"7182 Gershøj (Lejre Kommune)",42.7,42.5,43.7
"7183 Frydendal (Holbæk Kommune)",40.6,41.6,41.9
"7184 Sengeløse (Høje-Taastrup Kommune)",39.9,40.3,40.9
"7185 Ledøje (Egedal Kommune)",39.2,39.7,39.9
"7186 Smørum (Egedal Kommune)",37.1,37.5,37.8
"7187 Ballerup (Ballerup Kommune)",41.5,41.8,41.9
"7188 Måløv (Ballerup Kommune)",36.3,36.4,36.7
"7189 Skovlunde (Ballerup Kommune)",41.7,41.7,41.8
"7190 Tårnby (Tårnby Kommune)",41.8,41.9,41.9
"7191 Kastrup (Tårnby Kommune)",44.3,44.2,44.3
"7192 Store Magleby (Dragør Kommune)",41.0,41.3,41.3
"7193 Dragør (Dragør Kommune)",45.8,46.3,46.6
"7194 Greve (Greve Kommune)",38.3,38.8,39.2
"7195 Hundige-Kildebrønde (Greve Kommune)",39.9,40.2,40.4
"7196 Reerslev (Høje-Taastrup Kommune)",35.5,35.8,36.2
"7197 Vindinge (Roskilde Kommune)",38.7,38.8,39.1
"7198 Snoldelev (Roskilde Kommune)",36.8,37.2,37.6
"7199 Tune (Greve Kommune)",38.8,39.2,39.4
"7200 Karlslunde (Greve Kommune)",39.5,39.5,39.6
"7201 Karlstrup (Solrød Kommune)",38.5,39.3,39.9
"7202 Havdrup (Solrød Kommune)",37.7,38.1,38.5
"7203 Solrød (Solrød Kommune)",38.9,39.3,39.8
"7204 Jersie (Solrød Kommune)",39.2,39.5,39.7
"7205 Kirke Skensved (Solrød Kommune)",36.5,38.1,37.2
"7206 Køge (Køge Kommune)",41.9,42.3,42.5
"7207 Ølsemagle (Køge Kommune)",36.8,36.9,37.2
"7208 Rorup (Lejre Kommune)",35.9,36.7,37.2
"7209 Glim (Lejre Kommune)",36.8,37.2,37.4
"7210 Gadstrup (Roskilde Kommune)",38.5,38.8,39.2
"7211 Syv (Roskilde Kommune)",39.3,39.9,40.6
"7212 Ørsted (Roskilde Kommune)",35.3,36.2,36.2
"7213 Dåstrup (Roskilde Kommune)",36.9,37.0,37.1
"7214 Borup (Køge Kommune, Ringsted Kommune)",41.3,41.5,41.8
"7215 Kimmerslev (Køge Kommune)",39.9,40.6,42.5
"7216 Ejby (Køge Kommune)",38.3,38.4,38.7
"7217 Nørre Dalby (Køge Kommune)",34.1,34.3,33.3
"7218 Højelse (Køge Kommune)",37.8,37.7,38.1
"7219 Ubby (Kalundborg Kommune)",40.8,40.6,40.3
"7220 Svallerup (Kalundborg Kommune)",41.4,42.0,43.0
"7221 Store Fuglede (Kalundborg Kommune)",36.0,35.6,35.3
"7222 Lille Fuglede (Kalundborg Kommune)",35.6,35.1,35.4
"7223 Sæby (Kalundborg Kommune)",38.5,38.6,39.1
"7224 Hallenslev (Kalundborg Kommune)",36.8,35.5,36.4
"7225 Buerup (Kalundborg Kommune)",38.9,40.1,40.7
"7226 Reerslev (Kalundborg Kommune)",36.8,38.0,38.1
"7227 Ruds Vedby (Sorø Kommune)",39.3,38.9,38.8
"7228 Tersløse (Sorø Kommune)",41.3,41.5,41.5
"7229 Skellebjerg (Sorø Kommune)",39.2,39.8,40.0
"7230 Niløse (Sorø Kommune)",39.7,38.8,39.5
"7231 Ørslev (Kalundborg Kommune)",37.6,37.8,37.7
"7232 Solbjerg (Kalundborg Kommune)",35.8,34.5,35.2
"7233 Havrebjerg (Slagelse Kommune)",41.1,39.7,39.8
"7234 Gierslev (Kalundborg Kommune)",37.2,37.8,37.9
"7235 Finderup (Kalundborg Kommune, Sorø Kommune)",41.8,41.5,41.7
"7236 Gørlev (Kalundborg Kommune)",43.1,43.0,43.3
"7237 Bakkendrup (Kalundborg Kommune)",34.8,35.8,35.4
"7238 Kirke Helsinge (Kalundborg Kommune)",43.9,44.6,44.7
"7239 Drøsselbjerg (Kalundborg Kommune)",43.3,43.7,45.2
"7240 Tranebjerg (Samsø Kommune)",47.0,46.9,47.8
"7241 Besser (Samsø Kommune)",46.6,46.7,46.8
"7242 Onsbjerg (Samsø Kommune)",45.9,45.7,46.3
"7243 Kolby (Samsø Kommune)",45.1,46.2,46.3
"7244 Nordby (Samsø Kommune)",49.4,50.2,49.9
"7245 Stenlille (Sorø Kommune)",40.9,41.0,41.5
"7246 Orø (Holbæk Kommune)",47.7,48.9,48.7
"7247 Føllenslev (Kalundborg Kommune)",44.0,44.4,44.4
"7248 Særslev (Kalundborg Kommune)",38.6,38.6,37.9
"7249 Bregninge (Kalundborg Kommune)",44.1,44.1,44.1
"7250 Bjergsted (Kalundborg Kommune)",39.5,38.1,39.1
"7251 Viskinge (Kalundborg Kommune)",41.3,40.8,41.5
"7252 Aunsø (Kalundborg Kommune)",38.3,38.8,39.2
"7253 Værslev (Kalundborg Kommune)",38.2,38.3,38.4
"7254 Jorløse (Kalundborg Kommune)",39.2,39.0,39.2
"7255 Vallekilde (Odsherred Kommune)",36.3,36.0,36.9
"7256 Hørve (Odsherred Kommune)",40.1,40.2,40.6
"7257 Sejerø (Kalundborg Kommune)",53.9,53.1,54.8
"7258 Nykøbing Sj (Odsherred Kommune)",45.8,46.0,46.2
"7259 Rørvig (Odsherred Kommune)",52.5,52.7,53.2
"7260 Odden (Odsherred Kommune)",48.1,48.0,48.2
"7261 Højby (Odsherred Kommune)",46.3,47.1,47.3
"7262 Vig (Odsherred Kommune)",43.4,43.6,43.9
"7263 Nørre Asmindrup (Odsherred Kommune)",41.5,39.6,39.8
"7264 Egebjerg (Odsherred Kommune)",41.8,42.0,42.3
"7265 Grevinge (Odsherred Kommune)",42.1,42.8,43.2
"7266 Asnæs (Odsherred Kommune)",44.2,44.6,45.3
"7267 Fårevejle (Odsherred Kommune)",42.1,42.3,42.4
"7268 Vor Frue (Kalundborg Kommune)",43.9,43.8,44.4
"7269 Raklev (Kalundborg Kommune)",40.7,40.9,41.3
"7270 Røsnæs (Kalundborg Kommune)",45.3,45.5,45.6
"7271 Tømmerup (Kalundborg Kommune)",36.4,36.6,36.8
"7272 Årby (Kalundborg Kommune)",38.6,39.1,39.1
